time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0,0.269668,-0.0771755,0.0603553,-0.182852,1.01863,-0.202933,0.142774,0.109179,-0.232559,-0.0207224,0.011169,0.250988,-0.0166577,-0.521711,-0.135697,-0.355028,0.295095,0.503387,0.468478,-0.0237427,-0.517875,0.081242,-0.161667,-0.259485,-0.151554,-0.214373,0.472058,2.00508,0.321911,-0.432112,-0.233969,0.814151,1.80898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.119861,0,-0.14786,-0.025808,0.530459,0.0559693,-10.7865,221.706,23.3925,0,0,0,0,0,0,0,0,0,0.000738621,0.0646059,0
0.01,0.273048,-0.0853137,0.0719835,-0.164808,1.0248,-0.20302,0.12565,0.120869,-0.225799,-0.0253002,-0.0287141,0.220044,-0.0167176,-0.530033,-0.152417,-0.341914,0.31672,0.488983,0.448315,-0.023673,-0.516288,0.0932811,-0.16646,-0.266339,-0.150665,-0.209278,0.46349,2.00311,0.31509,-0.430433,-0.239001,0.828282,1.81239,0.337969,-0.813825,1.16282,1.80438,0.617297,-0.00861611,-1.71242,1.16897,0.675968,-0.457776,-3.98831,-3.09442,-0.00598993,-0.832144,-1.672,1.31136,2.16252,-1.44035,-2.01639,0.00696803,0.158714,1.20391,-0.479266,-0.685359,0.0888824,0.509458,-0.856803,-0.196863,-0.682087,0.167879,-0.503197,1.41308,0.340893,-9.77606,-6.8327,-2.56291,1.5215,-1.15092,0.994499,-79.8197,-8.0122,-3.62789,33.9782,8.50153,-0.119999,-0.0342634,56.2098,-1.85457,-1.62476,-10.8395,-0.483667,0.0688183,0.0580677,15.9366,-16.1921,14.7239,2.95866,-1.08147,-0.150122,1.47196,-0.0286221,-7.49064,1.57638,0.484621,-1.66078,0.0361151,-8.2717,-2.33947,-13.0865,-2.32751,-6.94633,1.23456,17.9737,-2.34152,-19.209,25.8135,49.5847,35.9161,-5.55524e-05,49.284,-3.5912,-3.83224,56.8349,-80.9125,-54.4631,8.07734e-05,7.10366,-7.45844,20.479,5.46876,1.08514,-4.75681,16.3254,16.5657,-9.55581,11.4379,5.04026,-2.24701,-13.7403,0,0,1,0,0.125572,0,-0.147145,-0.0256177,0.344753,0.0317598,-18.951,255.035,23.4947,0,0,0,0,0,0,0,0,0,0.000515923,0.0589606,12.3877
0.02,0.275601,-0.0936859,0.082303,-0.146997,1.03028,-0.202982,0.110323,0.132324,-0.22096,-0.0272966,-0.0636387,0.192691,-0.0167775,-0.533426,-0.169496,-0.329184,0.344028,0.466489,0.422704,-0.0236034,-0.513991,0.104574,-0.169205,-0.272645,-0.149668,-0.204659,0.456555,2.0028,0.307314,-0.427611,-0.243529,0.842188,1.81442,0.255252,-0.83722,1.03195,1.78111,0.547834,0.00372949,-1.53268,1.14556,0.483878,-0.199642,-3.49246,-2.73526,-0.00599049,-0.339304,-1.70791,1.27304,2.73087,-2.24947,-2.56102,0.00696884,0.229751,1.12932,-0.274477,-0.630672,0.0997338,0.46189,-0.693549,-0.0312057,-0.777645,0.282259,-0.452794,1.39061,0.203491,-6.12459,-1.39785,-3.67472,0.513734,-0.869062,-0.273894,-77.827,-8.62274,-3.44129,32.4396,10.3585,0.498427,-0.0339024,54.7016,-4.48686,-1.54766,-10.5753,-0.375911,-0.0019823,0.0509479,19.7214,-16.2299,15.0809,2.68482,-1.33938,-0.183722,1.43595,-0.028293,-7.52116,1.49154,0.4614,-1.57589,0.0326124,-8.31105,-2.60807,-13.1399,-2.46953,-6.43343,1.34802,18.1996,-2.40861,-19.5231,26.094,50.5432,36.7137,-5.49441e-05,49.5906,-3.57858,-4.12041,56.7783,-81.0815,-54.1026,0.000102828,7.06688,-7.54673,20.6562,5.53583,1.0421,-4.92974,16.4215,16.6313,-9.34835,11.4464,5.19749,-2.39504,-13.7742,0,0,1,0,0.132009,0,-0.146105,-0.0111597,0.116891,0.00913167,-27.9314,292.564,22.8554,0,0,0,0,0,0,0,0,0,0.000384396,0.0540859,7.35271
0.03,0.277322,-0.102319,0.0913085,-0.129433,1.03511,-0.20281,0.096816,0.143539,-0.218074,-0.0266836,-0.093509,0.16901,-0.0168374,-0.53186,-0.186933,-0.316866,0.377015,0.435886,0.391684,-0.0235337,-0.510987,0.115113,-0.169884,-0.278398,-0.148566,-0.200534,0.451262,2.00415,0.298603,-0.423644,-0.247538,0.855855,1.81508,0.172141,-0.863301,0.900552,1.75641,0.483499,0.0172097,-1.35068,1.12147,0.288647,0.0612986,-2.98703,-2.36812,-0.00599104,0.156602,-1.7437,1.23184,3.29865,-3.06028,-3.10205,0.00696987,0.300419,1.05386,-0.0679145,-0.575313,0.110155,0.412593,-0.529333,0.135107,-0.871129,0.396723,-0.40082,1.36666,0.0657493,-4.03189,1.9515,-4.20049,0.593719,-0.642212,0.193068,-76.4235,-10.2663,-3.08272,30.8087,12.2446,1.16104,-0.0343286,53.7916,-6.10662,-1.57949,-10.2671,-0.24102,-0.0508675,0.0421186,22.1584,-16.5947,15.3766,2.42751,-1.63359,-0.224168,1.40271,-0.028329,-7.50943,1.42073,0.445126,-1.4886,0.0292932,-8.51644,-3.01725,-13.2442,-2.67912,-5.90118,1.45018,18.5728,-2.38885,-20.0106,26.7382,52.8654,38.3508,-5.30209e-05,50.2587,-3.69268,-4.72306,56.2805,-81.0597,-52.9217,0.000124059,6.81474,-7.50276,21.0168,5.78139,0.863151,-5.26403,16.6142,16.6434,-8.72941,11.4236,5.55976,-2.79026,-13.7324,0,0,1,0,0.13816,0,-0.144878,0.0171595,-0.152604,-0.00971754,-37.5033,333.526,21.2383,0,0,0,0,0,0,0,0,0,0.000316792,0.0500183,6.20571
0.04,0.278192,-0.111254,0.0989896,-0.112137,1.03936,-0.202493,0.0851664,0.154515,-0.217188,-0.0233968,-0.118093,0.149164,-0.0168973,-0.525268,-0.20474,-0.305019,0.415629,0.397177,0.355371,-0.0234639,-0.507301,0.124901,-0.168461,-0.283573,-0.147378,-0.196934,0.44763,2.00717,0.289018,-0.418534,-0.25099,0.869242,1.81436,0.086977,-0.893473,0.76811,1.72962,0.424487,0.0317115,-1.16496,1.09758,0.0885415,0.32868,-2.45838,-1.98462,-0.00599157,0.659188,-1.78063,1.18461,3.86146,-3.87088,-3.63127,0.00697111,0.368567,0.978828,0.142254,-0.5175,0.118786,0.359952,-0.363191,0.301542,-0.958423,0.510959,-0.345222,1.33875,-0.0715751,-2.95275,4.99311,-4.55672,0.759046,-0.588278,0.361137,-75.3168,-12.2249,-2.49309,28.9816,14.0368,1.82523,-0.035512,53.4922,-7.14826,-1.70996,-10.0584,-0.0585394,-0.0840924,0.0302824,23.4969,-16.7334,15.5803,2.20227,-1.95901,-0.269087,1.37344,-0.0289183,-7.39464,1.32553,0.424845,-1.3811,0.0258146,-8.7165,-3.41423,-13.2844,-2.96052,-5.35369,1.50449,18.7955,-2.21213,-20.0903,27.3306,56.1887,40.2282,-4.92069e-05,50.8714,-3.84508,-5.39945,54.6137,-79.634,-50.1918,0.000139741,6.21385,-7.26081,21.3652,6.29146,0.478795,-5.58961,16.7985,16.2392,-7.56808,11.2701,6.08934,-3.49275,-13.3545,0,0,1,0,0.144028,0,-0.143507,0.0579673,-0.460778,-0.0225359,-47.4154,376.901,18.4336,0,0,0,0,0,0,0,0,0,0.000290161,0.0467772,7.44757
0.05,0.27819,-0.12053,0.105342,-0.0951364,1.04307,-0.202026,0.0753964,0.165269,-0.218312,-0.0173769,-0.137058,0.13334,-0.0169572,-0.513589,-0.22293,-0.293713,0.459705,0.350505,0.314039,-0.0233942,-0.502994,0.133963,-0.164902,-0.288119,-0.146142,-0.193893,0.445678,2.01181,0.278677,-0.412297,-0.253833,0.882281,1.81231,-0.000188008,-0.927616,0.635266,1.70001,0.370951,0.0467564,-0.977,1.07546,-0.112362,0.601986,-1.89649,-1.58233,-0.00599206,1.1679,-1.81908,1.13061,4.40759,-4.66722,-4.13318,0.00697251,0.430705,0.90622,0.355906,-0.454585,0.123574,0.304056,-0.195206,0.463933,-1.0341,0.62366,-0.284328,1.30383,-0.20512,-2.32607,7.79387,-4.44175,0.667473,-0.590859,0.598221,-73.8071,-14.3482,-1.63255,26.628,15.5948,2.43722,-0.0372754,53.2548,-7.28432,-1.97678,-9.81288,0.188588,-0.0977992,0.0138753,24.079,-16.5042,15.5815,2.02043,-2.312,-0.317328,1.35063,-0.0304363,-7.12435,1.19453,0.396399,-1.23946,0.0220566,-8.65111,-3.57561,-13.0769,-3.28038,-4.7918,1.49665,18.3686,-1.94657,-19.0431,26.982,59.4779,41.4502,-4.50087e-05,50.6774,-3.71611,-5.73339,50.9874,-74.8687,-44.9822,0.000149685,5.14884,-6.94033,21.3528,7.10972,-0.12249,-5.63497,16.801,14.9256,-5.86892,10.8624,6.67795,-4.50874,-12.3232,0,0,1,0,0.149628,0,-0.142032,0.108879,-0.799659,-0.0271428,-57.3919,421.513,14.3074,0,0,0,0,0,0,0,0,0,0.000285712,0.0443172,9.32935
0.06,0.277323,-0.130164,0.110387,-0.0784643,1.0463,-0.201408,0.0674633,0.175829,-0.22134,-0.00865889,-0.150075,0.121662,-0.0170172,-0.496842,-0.241493,-0.282981,0.50888,0.296346,0.268209,-0.0233245,-0.498172,0.142332,-0.159208,-0.291954,-0.144919,-0.191416,0.445406,2.01794,0.267749,-0.404975,-0.256009,0.894868,1.80903,-0.0866992,-0.963372,0.504497,1.66721,0.323033,0.0617229,-0.793314,1.056,-0.302793,0.871806,-1.30171,-1.16783,-0.00599251,1.67468,-1.85624,1.07328,4.91747,-5.41591,-4.58301,0.006974,0.482194,0.836817,0.569434,-0.383488,0.122349,0.247707,-0.0271962,0.613189,-1.09279,0.732284,-0.217549,1.25874,-0.328352,-1.97762,9.45347,-3.35887,0.905675,0.3091,1.33113,-71.3651,-16.7349,-0.493289,23.456,16.7757,2.94066,-0.0392184,52.6001,-5.99525,-2.45697,-9.37689,0.509446,-0.0870212,-0.00826819,24.028,-16.1606,15.2182,1.87755,-2.66798,-0.365298,1.33469,-0.0330353,-6.67337,1.02105,0.358238,-1.05975,0.0180915,-8.1094,-3.29935,-12.3466,-3.58511,-4.2028,1.40715,16.7271,-1.68435,-16.2112,24.611,61.0892,40.7606,-4.19061e-05,49.1129,-2.94653,-5.09745,44.929,-64.6921,-36.7552,0.000154794,3.56609,-6.6968,20.5076,8.26363,-0.907897,-5.02473,16.4038,12.298,-3.83514,10.092,7.11491,-5.72919,-10.4251,0,0,1,0,0.154972,0,-0.140502,0.166152,-1.15369,-0.0219063,-67.1272,466.103,8.85036,0,0,0,0,0,0,0,0,0,0.000290377,0.0425427,10.3561
0.07,0.275645,-0.140127,0.114198,-0.0621507,1.04911,-0.20065,0.0612029,0.186221,-0.225989,0.00252028,-0.156983,0.11406,-0.0170771,-0.475184,-0.26035,-0.272758,0.562548,0.235718,0.218704,-0.0232547,-0.492993,0.15003,-0.151463,-0.294963,-0.143786,-0.189442,0.446774,2.0253,0.256438,-0.396643,-0.257473,0.906882,1.8047,-0.167793,-0.996365,0.381031,1.63136,0.281005,0.0757944,-0.626043,1.03915,-0.464905,1.11792,-0.690817,-0.760225,-0.00599293,2.16581,-1.8857,1.0223,5.36676,-6.06283,-4.95056,0.00697555,0.517855,0.769849,0.77451,-0.300851,0.11327,0.197459,0.136842,0.736169,-1.13114,0.833204,-0.1464,1.20145,-0.432603,-1.88102,9.43409,-1.25981,0.401453,-0.434255,1.15906,-67.9515,-19.4467,0.881418,19.3851,17.4546,3.28928,-0.0407579,51.1341,-3.30654,-3.17813,-8.71111,0.899109,-0.0560243,-0.03624,23.5435,-16.1043,14.378,1.75924,-2.96082,-0.404212,1.32157,-0.0364036,-6.08084,0.804136,0.310095,-0.858718,0.0143503,-6.99266,-2.34354,-10.9033,-3.84151,-3.62022,1.20446,13.5035,-1.60886,-11.3343,19.4949,59.5249,37.1924,-3.98441e-05,45.901,-1.13896,-2.97416,36.3634,-47.3979,-25.2258,0.000157348,1.51786,-6.77428,18.4342,9.74076,-1.78436,-3.48459,15.4267,8.25562,-1.76539,8.89642,7.21007,-7.02304,-7.70109,0,0,1,0,0.16006,0,-0.138969,0.224621,-1.49961,-0.00651911,-76.2983,509.38,2.21438,0,0,0,0,0,0,0,0,0,0.000296697,0.0413378,9.7888
0.08,0.273268,-0.150325,0.116918,-0.0462213,1.05156,-0.199772,0.0562928,0.196452,-0.231771,0.0156489,-0.157939,0.110177,-0.017137,-0.448936,-0.279321,-0.262832,0.619852,0.170349,0.166676,-0.023185,-0.487663,0.157051,-0.141874,-0.296997,-0.142832,-0.187816,0.449685,2.03349,0.24495,-0.387421,-0.258216,0.918195,1.79961,-0.23772,-1.0198,0.271998,1.59294,0.244803,0.087839,-0.491008,1.02307,-0.578248,1.31287,-0.0955684,-0.388302,-0.00599333,2.62482,-1.89709,0.992562,5.73039,-6.53681,-5.20282,0.00697712,0.533033,0.702106,0.958853,-0.203444,0.0954268,0.162613,0.291109,0.818725,-1.1488,0.922168,-0.0742992,1.13122,-0.509614,-2.05603,8.04047,1.44628,0.204046,-0.607052,0.25644,-63.5089,-22.749,2.38801,14.4434,17.5582,3.45213,-0.0413462,48.7484,0.186615,-4.08211,-7.89995,1.34494,-0.0182388,-0.068974,22.8023,-16.1972,13.0732,1.65487,-3.15691,-0.428673,1.31209,-0.0402786,-5.37023,0.545208,0.252037,-0.639426,0.0107571,-5.28383,-0.51331,-8.72992,-3.99676,-3.01449,0.899858,8.68006,-1.94063,-4.89949,11.7078,54.0882,30.7685,-3.91277e-05,41.0378,1.96533,0.651771,25.6277,-22.2384,-10.145,0.000154757,-0.873481,-7.41326,14.9957,11.4617,-2.60791,-1.01393,13.8142,3.0292,0.0639426,7.28314,6.87952,-8.30757,-4.37044,0,0,1,0,0.164885,0,-0.137488,0.278364,-1.81034,0.0173977,-84.584,550.092,-5.28648,0,0,0,0,0,0,0,0,0,0.000301304,0.040592,8.45245
0.09,0.270362,-0.160575,0.118765,-0.0306915,1.0537,-0.198804,0.0522507,0.206488,-0.238044,0.0299484,-0.153485,0.109371,-0.017197,-0.418584,-0.298095,-0.252841,0.679718,0.102758,0.113633,-0.0231152,-0.48242,0.163331,-0.130786,-0.297885,-0.142138,-0.186291,0.453978,2.04198,0.233468,-0.377471,-0.258271,0.928676,1.79407,-0.290558,-1.02493,0.184699,1.55298,0.214658,0.0968376,-0.404208,1.00366,-0.627243,1.42994,0.445314,-0.0806166,-0.00599372,3.03519,-1.87744,0.99908,5.98667,-6.75919,-5.30427,0.00697867,0.524298,0.627974,1.10881,-0.0888267,0.0693477,0.152474,0.429251,0.849017,-1.14816,0.994999,-0.00550401,1.04814,-0.553318,-2.42208,6.33442,4.05542,-0.220899,-0.461845,0.00860512,-58.3384,-26.8963,3.89545,8.8781,17.0721,3.42067,-0.0405377,45.4924,3.51567,-4.99499,-7.1384,1.81826,0.00817499,-0.103755,22.1208,-15.9112,11.4323,1.54984,-3.24777,-0.436207,1.30297,-0.044193,-4.60558,0.280818,0.190976,-0.413794,0.00748561,-3.06464,2.26612,-5.97807,-4.03379,-2.39148,0.541666,2.5854,-2.85905,2.13364,1.99494,44.9832,22.2596,-3.90328e-05,34.7697,6.40656,5.34076,13.3724,9.98725,8.28862,0.000145451,-3.43714,-8.76591,10.346,13.2933,-3.2233,2.12716,11.641,-2.85581,1.46197,5.33176,6.13732,-9.56554,-0.755143,0,0,1,0,0.169442,0,-0.136111,0.322019,-2.06212,0.0464397,-91.6847,587.123,-13.2222,0,0,0,0,0,0,0,0,0,0.000303283,0.0402092,7.91833
0.1,0.26715,-0.170597,0.120014,-0.0155651,1.05561,-0.197781,0.0484672,0.216239,-0.244103,0.0444473,-0.144534,0.11079,-0.0172569,-0.384755,-0.316229,-0.242316,0.740922,0.0361643,0.0614191,-0.0230454,-0.477521,0.168734,-0.118663,-0.297444,-0.141767,-0.184554,0.459434,2.05018,0.222133,-0.366988,-0.257712,0.938201,1.78847,-0.321204,-1.00227,0.124918,1.51264,0.190743,0.102254,-0.378354,0.975069,-0.605907,1.44989,0.895146,0.141979,-0.00599411,3.38289,-1.81337,1.05249,6.12039,-6.65932,-5.22138,0.00698013,0.489927,0.540314,1.21227,0.0441064,0.0371147,0.173746,0.54566,0.820459,-1.13354,1.04832,0.0558692,0.952486,-0.560869,-3.38547,5.10202,5.99364,0.0106548,-0.233824,0.535067,-52.8433,-31.9926,5.28198,3.07788,16.0407,3.21117,-0.0381555,41.5364,5.72577,-5.672,-6.62209,2.27828,0.00889083,-0.13666,21.3331,-15.0614,9.6115,1.4399,-3.22811,-0.426333,1.29292,-0.047715,-3.84603,0.0380828,0.133003,-0.198299,0.00471508,-0.550044,5.86278,-2.92536,-3.93654,-1.76652,0.176516,-4.16985,-4.44022,8.72649,-8.45413,33.1805,12.7854,-3.75978e-05,27.5296,11.9712,10.3083,0.411322,46.6673,29.118,0.000133642,-5.98486,-10.8585,4.90362,15.0678,-3.50344,5.48794,9.0889,-8.68558,2.35424,3.18308,5.06422,-10.8368,2.78905,0,0,1,0,0.173731,0,-0.134875,0.352201,-2.24145,0.07644,-97.3574,619.594,-21.13,0,0,0,0,0,0,0,0,0,0.000302945,0.0401096,8.58818
0.11,0.263883,-0.180034,0.12097,-0.000832414,1.05734,-0.196741,0.0442667,0.225545,-0.249289,0.0581008,-0.132265,0.113489,-0.0173168,-0.348173,-0.333165,-0.230761,0.802167,-0.0257621,0.0121171,-0.0229755,-0.47322,0.173051,-0.10605,-0.295496,-0.141746,-0.182267,0.4658,2.05752,0.211033,-0.356186,-0.256647,0.946642,1.78314,-0.326705,-0.943645,0.0956649,1.47327,0.173078,0.104019,-0.420052,0.930667,-0.518642,1.36535,1.22695,0.269834,-0.00599448,3.65819,-1.69366,1.15557,6.1245,-6.19265,-4.9302,0.00698146,0.430078,0.43173,1.26131,0.194785,0.00208034,0.228625,0.636549,0.733603,-1.11,1.08015,0.106511,0.844118,-0.532979,-5.10683,3.94153,7.08387,0.417899,0.237077,0.778102,-47.4386,-38.1016,6.45765,-2.52945,14.5576,2.85559,-0.0344207,37.1333,6.33135,-5.91682,-6.47761,2.67805,-0.017974,-0.163452,20.4021,-14.1337,7.73261,1.28933,-3.09324,-0.400976,1.27409,-0.0502968,-3.16596,-0.171695,0.0821574,-0.0145528,0.00263358,1.96516,9.90207,0.0668703,-3.72769,-1.1604,-0.159619,-10.7932,-6.62551,14.0727,-18.28,20.141,3.47722,-3.43891e-05,19.8628,18.1911,14.581,-12.4401,83.599,50.554,0.000128124,-8.30261,-13.5738,-0.732435,16.6021,-3.38092,8.53293,6.40541,-13.698,2.77429,1.01985,3.76634,-12.1873,5.92374,0,0,1,0,0.177768,0,-0.1338,0.368268,-2.34809,0.103807,-101.463,646.931,-28.6002,0,0,0,0,0,0,0,0,0,0.000301067,0.0402214,9.6246
