time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_wrist_flex_r,pos_wrist_dev_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,pos_wrist_flex_l,pos_wrist_dev_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_wrist_flex_r,vel_wrist_dev_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,vel_wrist_flex_l,vel_wrist_dev_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_wrist_flex_r,tau_wrist_dev_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,tau_wrist_flex_l,tau_wrist_dev_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_wrist_flex_r,acc_wrist_dev_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,acc_wrist_flex_l,acc_wrist_dev_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
3.08,0.00817847,-0.00920164,-0.0150256,0.906202,1.01414,-0.500525,0.406577,0.0238188,0.027565,0.05817,0.00859916,-0.0599867,-7.96456e-11,-0.343528,0.0358033,-0.0667413,0.0322158,0.232341,0.0503929,-3.47181e-11,-0.283706,0.0403378,-0.111841,-0.359848,-0.103292,-0.298132,0.740424,1.50025,-8.8546e-12,1.67228e-11,0.0759028,-0.230935,-0.0876606,1.09629,1.46721,-5.02041e-12,1.26636e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.16275,0,-0.429297,1.07044e-08,-8.35543e-09,-6.20528e-10,-2.80862,2.1923,0.162814,0.671062,0,-0.549798,-0.0387419,-0.276784,-0.0116235,115.926,828.207,34.7803,5.84469e-05,0.0167271,0
3.085,0.00778959,-0.00960784,-0.0127954,0.913497,1.01356,-0.500418,0.406239,0.0236304,0.0256488,0.0630896,-0.00120154,-0.0621149,-7.96456e-11,-0.348652,0.0340544,-0.0689908,0.034699,0.227732,0.0539921,-3.47181e-11,-0.281201,0.0427856,-0.114026,-0.358019,-0.103639,-0.2974,0.740545,1.49987,-8.8546e-12,1.67228e-11,0.075299,-0.230302,-0.0859809,1.09622,1.46835,-5.02041e-12,1.26636e-11,-0.077775,-0.081239,0.446049,1.45903,-0.116847,0.0212982,-0.0677537,-0.0376701,-0.383245,0.983915,-1.96014,-0.425624,0,-1.02481,-0.349784,-0.449897,0.496638,-0.92179,0.719833,0,0.500888,0.489555,-0.436973,0.365731,-0.0694101,0.14627,0.0242633,-0.0766359,0,0,-0.120766,0.126649,0.335946,-0.0145934,0.227029,0,0,9.80483e-06,-4.25982e-06,1.45866e-06,3.90571e-06,-3.61218e-06,3.50403e-07,-27.5116,-2.87329,-0.561934,22.9281,0.0267644,-0.304092,0.0666586,36.6318,-64.0928,-10.0664,36.4039,-125.833,1.52226,0.0675223,20.2464,0.804266,9.27179,1.33307,-3.73919,-0.822162,2.2323,-0.0649634,-0.028558,-0.276349,-3.77235,-1.95532,-0.568945,0.868529,-0.0390226,-0.0303915,-0.0636819,9.16652,-2.85003,3.57779,2.88937,2.14563,0.402326,-4.82803,0.751561,-17.0693,67.4126,30.7215,-1.23091,0,10.4938,-10.3933,-8.00841,46.2729,-8.60308,-5.54343,0,-4.84395,2.74046,-0.594636,7.10752,-3.75891,-2.29815,-1.91354,6.53346,0,0,-15.3139,3.44082,-9.12757,-0.732054,4.21445,0,0,0,0,1,1,1.16606,0,-0.429302,5.59417e-08,-4.87963e-08,-1.60837e-09,-4.03682,3.5212,0.116062,0.672709,0,-0.548542,-0.095332,-0.638626,-0.0237138,121.882,816.484,30.3181,5.82234e-05,0.0165169,1.20347e-05
3.09,0.00762988,-0.0100853,-0.0104757,0.920865,1.01303,-0.500302,0.405779,0.0234608,0.0233059,0.0696945,-0.0102342,-0.0642737,-7.96456e-11,-0.353514,0.0320456,-0.0714405,0.038339,0.222908,0.0574526,-3.47181e-11,-0.278818,0.0453019,-0.116225,-0.356013,-0.10408,-0.296726,0.740619,1.49965,-8.8546e-12,1.67228e-11,0.0743123,-0.229583,-0.0845294,1.09613,1.46959,-5.02041e-12,1.26636e-11,-0.0319424,-0.0954891,0.463938,1.47348,-0.106118,0.0233098,-0.0918938,-0.0339123,-0.468591,1.32098,-1.80653,-0.431778,0,-0.972345,-0.401751,-0.48994,0.728002,-0.964805,0.692116,0,0.476669,0.503258,-0.439946,0.401269,-0.0882046,0.134779,0.0146956,-0.0439686,0,0,-0.197336,0.143853,0.290308,-0.0182536,0.248102,0,0,9.4013e-06,-4.28454e-06,1.44408e-06,3.65783e-06,-3.46531e-06,2.85642e-07,-25.3083,-3.14554,-0.540159,21.552,0.298423,-0.364639,0.0753396,35.125,-64.2322,-10.4086,36.1633,-125.123,0.130341,0.0689319,19.5714,0.359407,8.97139,1.43009,-3.66735,-0.807716,2.25019,-0.0655918,-0.026314,-0.27768,-3.6321,-1.92348,-0.558007,0.869331,-0.0393131,-0.0295554,-0.0632702,9.11128,-2.90074,3.00416,2.93025,2.03085,0.4432,-4.96446,1.01176,-16.6706,65.8973,30.9453,-1.04288,0,10.5017,-10.3166,-7.92921,45.8478,-8.87696,-5.91083,0,-4.71415,2.66708,-0.219456,7.06886,-3.76837,-2.21808,-1.8549,5.82001,0,0,-15.0883,3.50544,-8.98495,-1.10703,3.64112,0,0,0,0,1,1,1.16856,0,-0.429121,4.06337e-07,-3.91642e-07,1.23593e-08,-6.20736,5.98288,-0.188806,0.674376,0,-0.54725,-0.143408,-0.910476,-0.0344064,127.269,808.009,30.5343,5.79253e-05,0.0163391,1.15886e-05
3.095,0.00769795,-0.0106352,-0.0080809,0.928305,1.01255,-0.500174,0.405196,0.0233166,0.0205461,0.0779468,-0.0184932,-0.0664587,-7.96456e-11,-0.358113,0.0297789,-0.0740884,0.0431252,0.217862,0.0607655,-3.47181e-11,-0.276552,0.0478849,-0.118431,-0.35383,-0.104615,-0.296108,0.740646,1.49957,-8.8546e-12,1.67228e-11,0.0729484,-0.228776,-0.0833024,1.09601,1.47092,-5.02041e-12,1.26636e-11,0.013614,-0.109993,0.478959,1.48813,-0.0959642,0.0255258,-0.116716,-0.0288535,-0.551944,1.65046,-1.65181,-0.436992,0,-0.919837,-0.453333,-0.529586,0.957242,-1.00919,0.662562,0,0.453098,0.516593,-0.441044,0.436613,-0.107046,0.123689,0.00542107,-0.0148686,0,0,-0.272777,0.16138,0.245383,-0.0237888,0.266307,0,0,9.1109e-06,-4.42038e-06,1.35259e-06,3.30116e-06,-3.43523e-06,4.01897e-07,-21.0786,-3.79049,-0.426501,18.6197,0.853403,-0.47854,0.0931672,32.9747,-65.2751,-10.6876,35.7733,-124.491,-1.34899,0.0707469,17.8725,-0.68031,8.79063,1.49684,-3.6438,-0.806578,2.26507,-0.0671757,-0.0262816,-0.278792,-3.53625,-1.85398,-0.532889,0.832282,-0.0394674,-0.0291036,-0.0570942,8.55263,-3.09324,1.91183,2.9012,1.90245,0.56577,-5.26306,1.83018,-15.4147,61.6113,31.1761,-0.601137,0,10.5458,-10.1074,-7.89211,44.7278,-9.61763,-6.85546,0,-4.38175,2.45469,0.930434,6.94702,-3.77963,-2.08556,-1.6895,4.45097,0,0,-14.4838,3.71475,-8.69577,-2.14276,2.55829,0,0,0,0,1,1,1.17028,0,-0.428827,2.76124e-06,-2.90054e-06,3.35958e-07,-10.4744,11.0029,-1.27442,0.676087,0,-0.545903,-0.160462,-0.970452,-0.0389838,132.279,800.004,32.1367,5.74129e-05,0.0162008,1.128e-05
3.1,0.00797984,-0.0112625,-0.00563831,0.935818,1.01212,-0.500032,0.40448,0.0232181,0.0174011,0.0877394,-0.0259729,-0.0686587,-7.96456e-11,-0.362449,0.0272596,-0.0769336,0.0490296,0.212575,0.0639069,-3.47181e-11,-0.274397,0.0505292,-0.120613,-0.351473,-0.105245,-0.295542,0.740631,1.49961,-8.8546e-12,1.67228e-11,0.0712224,-0.227876,-0.0822929,1.09584,1.47232,-5.02041e-12,1.26636e-11,0.0563771,-0.125459,0.488518,1.50264,-0.086452,0.0283547,-0.143031,-0.0197026,-0.629017,1.95852,-1.49593,-0.439998,0,-0.867108,-0.50387,-0.569046,1.18088,-1.05728,0.628285,0,0.431189,0.528867,-0.436391,0.471348,-0.125945,0.113261,-0.00302643,0.0073863,0,0,-0.345196,0.179954,0.201905,-0.0345026,0.279099,0,0,8.77385e-06,-4.81526e-06,1.43023e-06,2.69922e-06,-3.02735e-06,4.02013e-07,-15.7916,-4.82514,-0.0897082,14.8586,1.56194,-0.608354,0.119425,30.3745,-66.1505,-10.6037,35.3785,-123.79,-2.6559,0.0727721,15.7111,-1.47677,8.84191,1.56323,-3.61155,-0.799558,2.27741,-0.0681678,-0.025287,-0.279004,-3.46561,-1.78829,-0.515706,0.768193,-0.0397212,-0.0314998,-0.0471507,7.636,-3.22049,0.0893656,2.81931,1.75672,0.745265,-5.58743,3.35225,-12.9871,54.3112,31.0497,0.0556801,0,10.6741,-9.74936,-8.14841,42.9528,-10.8679,-8.30641,0,-3.88376,2.06152,3.05316,6.724,-3.76249,-2.02007,-1.40639,3.15102,0,0,-13.4714,4.11909,-8.37253,-3.90458,1.57683,0,0,0,0,1,1,1.17106,0,-0.428552,2.36377e-05,-3.1228e-05,6.86054e-06,-14.6486,19.3524,-4.25156,0.67784,0,-0.544489,-0.146082,-0.841726,-0.0348845,137.247,790.823,32.7749,5.66938e-05,0.0161067,1.09007e-05
3.105,0.00845262,-0.0119703,-0.00319349,0.943402,1.01173,-0.499872,0.403626,0.0232034,0.0139313,0.0988898,-0.0326763,-0.0708573,-7.96456e-11,-0.366517,0.0244965,-0.0799826,0.0560078,0.207017,0.0668406,-3.47181e-11,-0.272338,0.0532251,-0.122718,-0.348948,-0.105969,-0.295026,0.740581,1.49973,-8.8546e-12,1.67228e-11,0.0691597,-0.226873,-0.0814927,1.09557,1.47375,-5.02041e-12,1.26636e-11,0.0945572,-0.141561,0.488965,1.51673,-0.0776684,0.032081,-0.170969,-0.00294139,-0.693953,2.23008,-1.34068,-0.43972,0,-0.813737,-0.552617,-0.609788,1.39564,-1.11162,0.586753,0,0.41177,0.539174,-0.421126,0.504968,-0.144757,0.103161,-0.0100584,0.0231414,0,0,-0.412553,0.200549,0.160042,-0.0540255,0.286983,0,0,8.09568e-06,-5.28049e-06,1.57303e-06,2.05972e-06,-2.60647e-06,6.19258e-07,-16.1956,-4.14694,0.155558,14.9975,1.72112,-0.57912,0.152228,30.9433,-66.3804,-10.3313,33.7326,-123.02,-3.90576,0.0738382,15.5985,-2.9578,8.92141,1.75198,-3.59751,-0.795744,2.34605,-0.0705884,-0.0229764,-0.286735,-3.26336,-1.68575,-0.49994,0.748329,-0.0414605,-0.0333207,-0.0426233,7.20273,-3.58405,-2.47496,2.83858,1.6447,1.04612,-5.73467,5.50827,-9.37922,44.7914,30.4961,0.908156,0,10.92,-9.28546,-8.81808,40.8058,-12.5882,-10.1355,0,-3.37028,1.50451,6.05279,6.40668,-3.71287,-1.94171,-1.00395,1.51099,0,0,-12.1086,4.70463,-8.02945,-6.25505,0.341266,0,0,0,0,1,1,1.17121,0,-0.428582,5.8088e-05,-0.000239642,4.21001e-05,-7.35158,30.3289,-5.32816,0.679633,0,-0.542995,-0.113675,-0.623658,-0.0265043,142.346,780.954,33.1891,5.59028e-05,0.016052,1.03594e-05
3.11,0.00910548,-0.0127678,-0.000810537,0.951057,1.01138,-0.499685,0.402627,0.0233264,0.010227,0.11116,-0.0386173,-0.0730332,-7.96456e-11,-0.370313,0.0215013,-0.083252,0.0640062,0.201145,0.069521,-3.47181e-11,-0.270363,0.0559585,-0.124673,-0.346263,-0.106785,-0.294559,0.740505,1.49988,-8.8546e-12,1.67228e-11,0.0667942,-0.225753,-0.0808932,1.09514,1.4752,-5.02041e-12,1.26636e-11,0.130571,-0.159482,0.47659,1.53093,-0.0694449,0.0373116,-0.199642,0.0246,-0.740849,2.45403,-1.1882,-0.435179,0,-0.759137,-0.599044,-0.653879,1.59967,-1.17456,0.536075,0,0.394919,0.546697,-0.390862,0.537002,-0.163321,0.0934523,-0.0150782,0.0306964,0,0,-0.473096,0.224073,0.119895,-0.0853007,0.288689,0,0,7.39742e-06,-5.8423e-06,1.58165e-06,1.25314e-06,-1.75081e-06,7.06646e-07,-16.4979,-2.26675,0.171419,14.8828,2.11479,-0.586503,0.188538,31.3896,-66.1076,-9.9412,32.0414,-122.152,-5.15104,0.0743019,15.4401,-5.23625,8.51613,1.74876,-3.57685,-0.801289,2.37145,-0.0729992,-0.0233778,-0.290525,-3.01071,-1.47836,-0.441377,0.735082,-0.0419961,-0.0299458,-0.0366206,6.77717,-4.25411,-5.82528,2.79877,1.5889,1.46015,-5.60673,8.11428,-4.87603,34.448,29.7232,1.82253,0,11.2373,-8.86892,-9.93751,38.6643,-14.6535,-12.0112,0,-3.07991,0.915281,9.60332,6.01438,-3.62088,-1.89275,-0.476825,-0.226412,0,0,-10.4936,5.43851,-7.70265,-8.96118,-0.92185,0,0,0,0,1,1,1.17184,0,-0.428586,-2.66333e-06,-0.000988413,8.54145e-05,0.125811,46.6908,-4.03483,0.6815,0,-0.541391,-0.0764641,-0.399085,-0.0172051,147.537,770.034,33.1973,5.51516e-05,0.0160209,9.82298e-06
3.115,0.00992776,-0.0136715,0.00142678,0.958781,1.01107,-0.499462,0.401489,0.0236522,0.0064009,0.124291,-0.0438152,-0.0751635,-7.96456e-11,-0.373828,0.0182843,-0.0867698,0.0729712,0.194905,0.0719011,-3.47181e-11,-0.268465,0.0587149,-0.126387,-0.343428,-0.107692,-0.294139,0.740418,1.50003,-8.8546e-12,1.67228e-11,0.0641664,-0.224497,-0.0804863,1.09449,1.47662,-5.02041e-12,1.26636e-11,0.164457,-0.180752,0.447464,1.54492,-0.0615004,0.0446123,-0.227676,0.0651714,-0.765229,2.62627,-1.03958,-0.426066,0,-0.702951,-0.643389,-0.703566,1.79299,-1.24783,0.476019,0,0.379519,0.551273,-0.342845,0.567074,-0.181426,0.0839886,-0.0174623,0.0295643,0,0,-0.525564,0.251265,0.0813814,-0.130107,0.28408,0,0,7.00223e-06,-6.50465e-06,1.48385e-06,5.59836e-07,-9.32391e-07,9.29478e-07,-17.389,0.0464744,0.00446278,14.3082,3.24365,-0.771041,0.227243,31.4303,-64.8849,-9.38047,30.3753,-120.993,-6.2727,0.0759372,16.093,-8.23125,7.58533,1.4191,-3.54977,-0.818633,2.33355,-0.0743187,-0.0269329,-0.288452,-2.75334,-1.20432,-0.347517,0.75506,-0.0410077,-0.0205968,-0.0321925,6.58683,-5.26646,-9.55441,2.66267,1.75872,1.9278,-5.26559,10.9561,-0.00385534,24.717,29.1178,2.5881,0,11.538,-8.73113,-11.4475,36.8843,-16.8831,-13.5041,0,-3.23501,0.509086,13.2566,5.56023,-3.47784,-2.02219,0.179969,-1.19233,0,0,-8.74923,6.28276,-7.45211,-11.7641,-1.44813,0,0,0,0,1,1,1.17262,0,-0.428494,-0.000181849,-0.00348124,3.63171e-05,4.18482,80.1123,-0.83575,0.683425,0,-0.539758,-0.0409795,-0.203599,-0.00864749,152.379,757.068,32.155,5.4523e-05,0.0160008,9.77702e-06
3.12,0.0109147,-0.0147069,0.00342524,0.966572,1.01081,-0.499191,0.400219,0.024252,0.00257466,0.138041,-0.0482851,-0.0772292,-7.96456e-11,-0.377054,0.0148491,-0.0905738,0.0828583,0.188244,0.0739436,-3.47181e-11,-0.266649,0.061484,-0.12777,-0.340453,-0.108687,-0.293769,0.740335,1.50015,-8.8546e-12,1.67228e-11,0.0613198,-0.223083,-0.0802657,1.09354,1.478,-5.02041e-12,1.26636e-11,0.197391,-0.207085,0.399692,1.55823,-0.0527068,0.0542513,-0.254004,0.119952,-0.765249,2.74986,-0.893992,-0.413126,0,-0.645261,-0.687045,-0.760804,1.97742,-1.33224,0.408499,0,0.363344,0.553819,-0.276562,0.594875,-0.198815,0.0738776,-0.0165624,0.0236026,0,0,-0.56931,0.282679,0.0441209,-0.188927,0.276839,0,0,6.9419e-06,-7.17433e-06,1.16883e-06,5.20169e-08,2.66054e-07,1.12116e-06,-18.2918,2.65077,-0.426714,12.5643,5.27596,-1.17041,0.266895,30.4524,-62.8586,-8.71285,28.9822,-119.448,-7.26657,0.0790112,17.6116,-12.2084,6.04739,0.711694,-3.53849,-0.855781,2.22422,-0.0750785,-0.0350401,-0.280026,-2.51353,-0.856907,-0.209737,0.81431,-0.0384451,-0.00351882,-0.0298749,6.714,-6.76162,-13.2388,2.4264,2.19639,2.42084,-4.87825,13.8242,4.62036,16.6257,29.174,3.03659,0,11.7865,-9.08005,-13.1417,35.7428,-19.0993,-14.3621,0,-3.91735,0.484882,16.5704,5.02637,-3.31458,-2.26994,0.966322,-1.70544,0,0,-7.01192,7.17531,-7.21124,-14.4192,-1.50778,0,0,0,0,1,1,1.17346,0,-0.42829,-0.000216745,-0.011813,-0.000428939,2.44056,133.015,4.82988,0.685368,0,-0.538189,-0.00636685,-0.0300711,-0.00124516,157.031,741.67,30.7104,5.4044e-05,0.0159838,1.01172e-05
3.125,0.0120695,-0.0159114,0.00509273,0.974424,1.0106,-0.498859,0.398827,0.0251973,-0.00113608,0.152206,-0.0520257,-0.0792189,-7.96456e-11,-0.379986,0.0111869,-0.0947064,0.0936389,0.181105,0.0756271,-3.47181e-11,-0.26493,0.0642652,-0.128738,-0.337353,-0.109763,-0.293457,0.740276,1.50022,-8.8546e-12,1.67228e-11,0.058298,-0.221491,-0.0802254,1.09224,1.47935,-5.02041e-12,1.26636e-11,0.230961,-0.240893,0.333498,1.57037,-0.0417248,0.0663555,-0.278395,0.189073,-0.742147,2.83299,-0.748123,-0.397943,0,-0.586329,-0.732445,-0.826512,2.15613,-1.42774,0.336689,0,0.343758,0.556243,-0.19371,0.620007,-0.215388,0.0625279,-0.0117308,0.0150754,0,0,-0.60437,0.318555,0.00806465,-0.261023,0.2693,0,0,7.12488e-06,-7.76028e-06,8.03398e-07,-3.79918e-07,1.16612e-06,1.24115e-06,-17.6915,4.92445,-0.928707,9.17884,7.63384,-1.60604,0.304183,28.3848,-60.3936,-7.91837,27.8745,-117.457,-8.04718,0.0818254,18.6796,-16.1964,4.33036,-0.203043,-3.53475,-0.901034,2.05581,-0.0744387,-0.0459488,-0.265331,-2.36844,-0.476743,-0.0479174,0.860243,-0.0337959,0.0167544,-0.0250486,7.00249,-8.50656,-16.269,2.1172,2.71117,2.85075,-4.6645,16.5387,8.51946,10.5679,30.284,3.02356,0,12.0323,-10.0285,-14.8258,35.4304,-21.1219,-14.4075,0,-5.05203,0.945264,19.2071,4.38175,-3.14638,-2.68635,1.8639,-1.42492,0,0,-5.41491,8.06284,-6.97809,-16.7383,-0.815543,0,0,0,0,1,1,1.17464,0,-0.427889,0.000886312,-0.0383557,-0.00216013,-4.4205,191.3,10.7737,0.687286,0,-0.536769,0.0295097,0.132602,0.00525135,161.045,723.66,28.6586,5.36995e-05,0.0159653,1.07087e-05
3.13,0.0133994,-0.0173285,0.00635349,0.982329,1.01046,-0.498456,0.397318,0.0265562,-0.00463383,0.166635,-0.0550093,-0.081133,-7.96456e-11,-0.382617,0.00727397,-0.0992096,0.105305,0.173439,0.0769503,-3.47181e-11,-0.263337,0.0670701,-0.129227,-0.334144,-0.110919,-0.293211,0.740264,1.50026,-8.8546e-12,1.67228e-11,0.0551407,-0.219696,-0.0803595,1.09052,1.48067,-5.02041e-12,1.26636e-11,0.265973,-0.283425,0.252153,1.58095,-0.028169,0.0806093,-0.301717,0.271766,-0.69955,2.88583,-0.596702,-0.382825,0,-0.526167,-0.782587,-0.900642,2.33328,-1.53335,0.264651,0,0.318497,0.560969,-0.0976745,0.641915,-0.23112,0.0490962,-0.00241133,0.00795082,0,0,-0.631444,0.35887,-0.0268258,-0.344714,0.265223,0,0,7.27255e-06,-8.1658e-06,4.74849e-07,-5.41806e-07,2.26895e-06,1.33179e-06,-16.0678,7.01175,-1.44559,4.96311,9.6979,-1.85678,0.337381,26.0059,-57.569,-7.00958,26.7795,-114.992,-8.55202,0.0833251,18.9895,-19.7402,2.66624,-1.17169,-3.53637,-0.94698,1.85322,-0.0731978,-0.0580338,-0.246618,-2.31595,-0.0825039,0.125524,0.877855,-0.0280046,0.0380397,-0.0171442,7.37931,-10.3296,-18.3663,1.79096,3.16495,3.18195,-4.79157,18.9424,11.484,6.35973,32.5567,2.51782,0,12.4357,-11.5298,-16.3056,36.0789,-22.8176,-13.7164,0,-6.42458,1.83339,21.0079,3.58894,-3.01021,-3.11587,2.84261,-1.17839,0,0,-4.0608,8.8756,-6.65532,-18.5926,-0.13622,0,0,0,0,1,1,1.17648,0,-0.427111,0.00570123,-0.102257,-0.0068322,-13.6495,244.815,16.3571,0.689125,0,-0.535599,0.0670343,0.287163,0.0106495,164.147,703.18,26.0774,5.34329e-05,0.0159435,1.12699e-05
3.135,0.0149137,-0.0190039,0.0071551,0.990279,1.0104,-0.497973,0.39569,0.0283886,-0.00784447,0.181223,-0.0571788,-0.0829842,-7.96456e-11,-0.384937,0.00307278,-0.10412,0.117874,0.165202,0.0779307,-3.47181e-11,-0.261906,0.0699207,-0.12919,-0.330844,-0.11215,-0.293044,0.740323,1.50027,-8.8546e-12,1.67228e-11,0.051882,-0.21768,-0.08066,1.08833,1.482,-5.02041e-12,1.26636e-11,0.30287,-0.335073,0.160321,1.58991,-0.0123442,0.096519,-0.325675,0.366478,-0.64213,2.91763,-0.433919,-0.370236,0,-0.463989,-0.840236,-0.98217,2.51368,-1.64744,0.196069,0,0.286375,0.570136,0.00736514,0.65986,-0.246171,0.0335168,0.0118017,0.00205888,0,0,-0.651748,0.403248,-0.0601024,-0.437677,0.264542,0,0,7.42632e-06,-8.36953e-06,1.97955e-07,-5.72975e-07,2.89846e-06,1.35331e-06,-14.0239,8.81663,-1.91509,0.512788,11.1715,-1.80827,0.365817,23.837,-54.5908,-6.05026,25.4941,-112.058,-8.79401,0.0835455,18.6296,-22.7325,1.22282,-2.10564,-3.55643,-0.993149,1.63769,-0.0717737,-0.0706655,-0.226134,-2.35295,0.301374,0.297538,0.865964,-0.0218001,0.0586602,-0.00688989,7.73317,-12.0615,-19.4892,1.4768,3.50344,3.40903,-5.36507,20.924,13.6013,3.44846,35.7282,1.58283,0,13.1886,-13.4133,-17.4995,37.7864,-24.0947,-12.4716,0,-7.79991,2.9581,22.0051,2.63546,-2.9159,-3.50881,3.86316,-1.13984,0,0,-3.00337,9.5557,-6.2253,-19.9161,0.271064,0,0,0,0,1,1,1.17909,0,-0.425917,0.0164564,-0.199983,-0.0145404,-23.8639,290.001,21.0854,0.69084,0,-0.534751,0.105957,0.433958,0.0149064,166.181,680.611,23.3789,5.31748e-05,0.0159178,1.16533e-05
