time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
1.24,-0.176195,0.00144923,0.11555,-0.410132,0.88002,-0.60083,0.683641,-0.19205,-0.296029,0.438414,-0.107947,0.0180724,-0.143936,0.714306,-0.14354,-0.186183,0.537572,-0.0638436,0.199472,-0.143977,-0.316733,0.00809111,-0.0174386,-0.746026,-0.713644,-0.659419,2.02894,1.51616,-0.61046,-0.807135,-0.249082,2.38746,0.923001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.14005,0,-0.432558,-0.410133,0.513328,-0.179238,-166.828,208.804,-72.9079,-0.143177,0,-0.784209,0.104491,-0.0967596,-0.0244994,-86.2059,79.8274,20.2122,0.000688079,0.0497019,0
1.25,-0.182463,-0.00437053,0.0962526,-0.404206,0.851655,-0.599362,0.785923,-0.174779,-0.242958,0.601601,-0.0127159,-0.0504953,-0.143937,0.798058,-0.156426,-0.15731,0.686066,0.0662379,0.156845,-0.143977,-0.319871,0.010496,0.00559933,-0.631438,-0.747075,-0.595446,1.98438,1.517,-0.522042,-0.789907,-0.183773,2.29702,1.38931,-0.626764,-0.581976,-1.92977,0.592607,-2.83648,0.146819,10.2282,1.7271,5.30709,16.3187,9.52315,-6.85677,-3.99306e-05,8.37517,-1.2886,2.88724,14.8495,13.0082,-4.26265,-3.29005e-05,-0.313778,0.240492,2.30379,11.4587,-3.34308,6.39729,-4.45594,0.0843374,8.84185,1.72279,6.53087,-9.04389,46.6306,68.0836,-108.334,-66.3059,0.54418,2.77641,-2.03104,-36.0383,-158.923,39.0383,-91.6895,-25.4699,11.4763,-0.000118716,74.8583,-58.0717,6.31727,-80.2336,-20.8648,-1.62641,-0.000401928,9.74853,-44.2753,-18.9126,-3.74475,0.252258,-0.850421,4.44121,-0.218945,5.73464,-7.56434,-5.3608,5.19561,-1.70063,25.3098,15.8606,-0.457863,-9.39675,11.7731,-1.52614,-84.3556,-1.77308,-51.7924,-125.333,-149.19,108.703,-2.04244e-07,-64.1124,-0.288279,-27.5778,-93.4619,-196.347,55.3151,-3.26394e-07,-62.8343,-23.7982,-12.1517,97.3165,56.5289,87.023,-54.9379,-76.7556,63.7161,2.03854,-32.5768,82.3639,-1218.86,0,0,1,1,-0.201682,0,-0.455037,-0.37243,1.13847,-0.175813,-281.99,862.01,-133.119,-0.198418,0,-0.773177,0.211683,-0.326414,-0.0485727,-238.547,367.838,54.7368,0.000528173,0.0471002,144.154
1.26,-0.1862,-0.00860423,0.0769091,-0.39922,0.824467,-0.598046,0.879769,-0.157686,-0.195067,0.752255,0.0675967,-0.108193,-0.143937,0.875398,-0.169341,-0.131195,0.825215,0.176685,0.11975,-0.143978,-0.329292,0.0105211,0.0274221,-0.507119,-0.774853,-0.522771,1.93432,1.51017,-0.427251,-0.772476,-0.121722,2.21482,1.73373,-0.373667,-0.42337,-1.93435,0.498639,-2.71875,0.131557,9.38463,1.70937,4.78916,15.0654,8.03125,-5.76975,-3.99326e-05,7.73405,-1.29148,2.61147,13.9148,11.0447,-3.7095,-3.29037e-05,-0.942121,0.0025102,2.18227,12.4319,-2.77779,7.26752,-5.00532,-0.683219,9.47902,1.74318,6.2051,-8.22025,34.442,-249.103,8.42656,-28.8755,-0.0860889,0.819146,-1.5036,-243.561,-41.055,28.1384,-52.0681,-28.3552,29.0697,-0.000152772,-33.6251,-24.7395,10.2071,-60.0276,-31.2027,2.31143,-0.000560914,46.2322,-24.8879,-18.0271,-4.46339,-7.22954,-4.56847,7.38766,-0.386616,6.28319,-11.7494,-7.72871,13.0056,-1.8933,25.5968,15.4643,0.296412,-5.30801,31.5476,-0.233934,-87.0828,-2.76937,-52.9861,-129.523,-143.27,109.645,-2.53666e-07,-65.8861,0.343819,-28.2462,-96.9749,-192.989,55.7763,-3.70761e-07,-61.8482,-23.7127,-12.9346,94.7625,57.7603,85.209,-53.6039,-76.8175,62.4543,1.53107,-29.7231,76.1642,-1148.6,0,0,1,1,-0.232041,0,-0.469615,0.377657,-4.65916,0.113814,-124.063,1530.57,-37.3886,-0.253308,0,-0.757414,-0.404869,2.12511,0.110391,-141.841,744.506,38.674,0.000548035,0.0477448,250.919
1.27,-0.187377,-0.0112915,0.0575952,-0.394764,0.800435,-0.596754,0.964907,-0.140869,-0.152474,0.889957,0.133582,-0.154926,-0.143938,0.94615,-0.182222,-0.107905,0.954666,0.267833,0.0882327,-0.143978,-0.344898,0.00817497,0.0479513,-0.373324,-0.796855,-0.441575,1.87891,1.49565,-0.326216,-0.754891,-0.0626435,2.14023,1.96329,-0.117698,-0.268727,-1.93139,0.445559,-2.40327,0.129218,8.5138,1.68168,4.2593,13.7702,6.59855,-4.6733,-3.99352e-05,7.07519,-1.28805,2.329,12.9451,9.1148,-3.15174,-3.29074e-05,-1.5606,-0.234617,2.05293,13.3795,-2.20019,8.11961,-5.54136,-1.45139,10.1036,1.75849,5.90787,-7.45861,22.956,-305.859,-24.3274,-7.11849,0.0652225,-0.338243,-1.20968,-176.54,8.27275,6.211,-79.5403,-27.4711,31.0273,-0.00010652,-154.702,21.6127,3.0218,-39.5771,-32.8418,8.92322,-0.000415305,50.6462,-11.3672,-15.954,-2.20853,-10.0473,-5.1083,7.92137,-0.401522,7.97659,-12.033,-7.6817,14.8549,-1.77419,23.7862,15.2837,2.93741,-3.44571,33.2985,-0.372859,-92.3344,-6.17657,-56.0426,-137.631,-125.94,111.709,-1.84677e-07,-69.734,1.99821,-29.9609,-105.127,-180.595,56.6318,-3.31141e-07,-58.5027,-22.6733,-15.3324,86.9139,60.7856,79.4851,-49.4181,-75.3391,58.0608,0.306504,-24.6916,64.4091,-996.823,0,0,1,1,-0.227745,0,-0.473723,0.811181,-7.47253,-0.121544,-141.795,1306.21,21.246,-0.27625,0,-0.748911,-0.0926354,6.54945,-0.0843156,-14.0727,994.96,-12.8088,0.000546517,0.0470967,306.91
1.28,-0.186175,-0.0124504,0.0385751,-0.390653,0.779732,-0.595499,1.04081,-0.12467,-0.115485,1.0139,0.186974,-0.190488,-0.143938,1.00993,-0.194902,-0.0876114,1.0736,0.340921,0.0623785,-0.143978,-0.366355,0.00356147,0.0669474,-0.230838,-0.812778,-0.35243,1.81856,1.4736,-0.219374,-0.737275,-0.00603396,2.07209,2.09316,0.120164,-0.11589,-1.90201,0.411102,-2.07029,0.12549,7.59046,1.61991,3.69888,12.3939,5.33916,-3.55621,-3.9937e-05,6.37785,-1.26806,2.02939,11.8938,7.30885,-2.58542,-3.29107e-05,-2.14563,-0.46135,1.8996,14.2487,-1.59233,8.91447,-6.03554,-2.20479,10.6842,1.76155,5.66096,-6.81452,12.9878,-68.5288,-48.9201,-12.6492,-1.03822,0.194427,-1.18525,-14.4719,-19.5669,10.1202,-112.16,-27.8331,22.9979,1.49381e-05,-87.1589,11.1687,0.712904,-63.236,-30.2397,10.0319,-4.26699e-05,36.8864,-2.02254,-12.4097,-0.874096,-5.82445,-2.39779,5.93287,-0.259811,8.42407,-8.18198,-5.65102,11.744,-1.37792,19.0704,14.878,7.92432,-6.4298,18.7798,-1.31167,-95.7205,-13.101,-59.7966,-144.837,-97.9598,113.212,-1.34329e-07,-72.9604,5.18954,-32.0507,-115.491,-156.444,57.0139,-3.64322e-07,-50.5835,-20.0877,-19.8175,72.1309,65.0045,68.4423,-41.3629,-68.896,49.264,-1.46677,-19.1711,51.1481,-788.189,0,0,1,1,-0.193836,0,-0.46642,1.58577,-4.39809,0.166299,-253.752,703.775,-26.6108,-0.262028,0,-0.750563,-0.710383,6.41051,0.0515296,-79.6405,718.677,5.77695,0.000501035,0.0448811,85.158
1.29,-0.183066,-0.0121215,0.0203474,-0.387185,0.760907,-0.594375,1.10714,-0.109781,-0.0844759,1.12335,0.230569,-0.214729,-0.143938,1.06641,-0.207064,-0.0705225,1.18099,0.398365,0.0422257,-0.143979,-0.392869,-0.0030608,0.0839617,-0.081138,-0.822201,-0.256442,1.75406,1.44467,-0.107606,-0.719806,0.0486585,2.00906,2.14422,0.310868,0.0328905,-1.82277,0.346804,-1.88249,0.112373,6.63326,1.4889,3.10091,10.9455,4.35956,-2.42408,-3.99384e-05,5.64825,-1.21617,1.70889,10.7389,5.74441,-2.01528,-3.29144e-05,-2.65147,-0.662227,1.70143,14.97,-0.942286,9.59889,-6.44917,-2.89375,11.1768,1.74689,5.46925,-6.30304,5.10587,94.3986,-10.026,-9.07332,-0.67664,-1.08778,-0.276857,43.8076,-29.0722,12.6451,-122.149,-26.5797,17.8366,6.06454e-05,3.34518,-13.5409,4.40038,-90.6277,-28.295,6.61507,0.000124973,35.8547,6.98382,-8.60377,-0.983702,-3.0271,-0.7953,4.9609,-0.161536,6.88181,-5.58931,-3.97746,9.33869,-0.992703,10.4849,13.1241,14.8841,-8.82338,9.71372,-1.50849,-92.5374,-22.9332,-62.0499,-145.557,-66.6506,111.214,1.05366e-07,-71.8556,9.91532,-32.6538,-123.418,-123.992,55.7157,-1.39422e-07,-37.44,-15.2644,-25.8628,50.5652,68.8039,51.9572,-29.2384,-54.4553,36.2135,-3.22744,-14.7872,40.4283,-557.672,0,0,1,1,-0.151192,0,-0.456545,1.09853,-1.60415,0.198974,-300.265,438.467,-54.3861,-0.220451,0,-0.759558,-1.01607,2.43841,0.277034,-186.056,446.507,50.7287,0.000476837,0.0425802,95.3712
1.3,-0.178909,-0.0104802,0.00360812,-0.384599,0.743053,-0.593402,1.16422,-0.0971848,-0.0596717,1.21825,0.2675,-0.227848,-0.143939,1.11571,-0.218234,-0.0566991,1.27604,0.44341,0.0276445,-0.143979,-0.423128,-0.0112095,0.0983897,0.0736182,-0.824743,-0.155257,1.68665,1.41028,0.00778337,-0.70266,0.101872,1.95007,2.13951,0.415718,0.164131,-1.67393,0.25857,-1.78535,0.097288,5.70788,1.25957,2.48041,9.48993,3.69305,-1.31195,-3.99373e-05,4.92969,-1.11702,1.38235,9.50474,4.50449,-1.45813,-3.29158e-05,-3.02587,-0.814871,1.4428,15.4756,-0.254247,10.1185,-6.74155,-3.4383,11.5389,1.71461,5.32138,-5.89875,-0.470846,125.843,20.7692,1.0243,-1.0061,-0.692455,-0.568702,30.3853,-13.8023,5.27447,-119.902,-26.0368,17.1025,3.94529e-05,27.8848,-14.3388,1.87371,-101.058,-28.2653,5.35369,0.000100797,52.5826,12.307,-5.24833,-0.549838,-3.41953,-0.864591,5.61806,-0.130371,5.02646,-5.32968,-3.2925,8.57886,-0.696862,0.122787,9.82341,22.7049,-8.67545,7.84369,-1.70337,-80.5702,-33.3045,-61.4457,-137.127,-40.651,103.495,1.80335e-07,-63.5094,15.1803,-29.8988,-124.84,-90.7584,52.0653,-8.338e-08,-19.7464,-7.4564,-31.7776,24.1032,70.3352,31.165,-13.6176,-30.7299,20.3879,-4.21553,-12.5096,34.824,-336.891,0,0,1,1,-0.150896,0,-0.458402,1.12278,-1.69325,0.163888,-281.565,424.625,-41.0989,-0.195175,0,-0.76158,-0.441894,0.751961,0.11649,-219.718,373.889,57.9211,0.000452958,0.0408219,127.556
1.31,-0.17474,-0.00785653,-0.0108607,-0.382881,0.725984,-0.5926,1.21324,-0.0879195,-0.0410122,1.29944,0.300365,-0.230618,-0.143939,1.15865,-0.227886,-0.0458654,1.3586,0.479379,0.0182697,-0.143979,-0.455361,-0.0201039,0.10964,0.230785,-0.820252,-0.0509558,1.61787,1.37283,0.125212,-0.685935,0.153835,1.89457,2.10112,0.416945,0.262365,-1.44688,0.171816,-1.70691,0.0802543,4.90218,0.926528,1.86596,8.11866,3.28654,-0.276997,-3.99355e-05,4.2946,-0.965213,1.08336,8.25634,3.59691,-0.937473,-3.29166e-05,-3.22333,-0.889435,1.12502,15.7167,0.449105,10.4301,-6.87773,-3.7456,11.7428,1.67246,5.19628,-5.55051,-3.83975,84.114,39.0063,6.35686,-1.50582,-1.10892,0.452511,-25.817,3.05304,-3.84215,-111.738,-27.2278,17.9725,-8.27185e-07,21.2325,-2.51212,-3.72131,-99.1632,-29.1358,6.97549,7.43214e-06,77.6596,12.8183,-3.13604,1.15727,-5.5633,-1.88074,7.12257,-0.129603,3.89471,-6.15477,-3.18578,8.76036,-0.482188,-10.5753,4.75671,29.7577,-6.85156,8.98453,-2.02339,-61.9672,-41.5213,-57.8727,-120.47,-24.8632,89.5471,2.3642e-07,-48.3553,19.508,-23.3036,-117.847,-63.6852,46.3291,-3.98687e-08,-0.82323,2.84298,-35.5418,-4.38747,68.2878,7.85275,4.65403,0.559789,3.96018,-3.94131,-12.5729,35.2059,-148.143,0,0,1,1,-0.179644,0,-0.466376,1.17458,-2.94257,0.0909717,-218.336,546.98,-16.9103,-0.197135,0,-0.758335,-0.872896,1.60825,0.174005,-204.674,377.097,40.8001,0.000407387,0.039488,92.9557
1.32,-0.171628,-0.00475721,-0.0223537,-0.381848,0.709814,-0.592,1.25607,-0.0828064,-0.0281399,1.36858,0.330744,-0.224433,-0.14394,1.19676,-0.235587,-0.0373622,1.42938,0.50898,0.0135279,-0.14398,-0.487677,-0.0287139,0.117336,0.387512,-0.808932,0.0541306,1.54956,1.33543,0.243036,-0.669605,0.204541,1.84258,2.0479,0.311193,0.309932,-1.1493,0.1033,-1.61707,0.0600204,4.28251,0.511315,1.28723,6.91396,3.03791,0.618474,-3.99331e-05,3.81104,-0.770133,0.850326,7.07787,2.96005,-0.474181,-3.2917e-05,-3.23156,-0.861006,0.769607,15.6728,1.13198,10.5086,-6.83119,-3.74,11.7824,1.63304,5.07055,-5.19845,-5.32118,17.0749,36.7269,4.08171,-1.23038,-2.06726,0.173878,-90.6552,8.36601,-6.01226,-100.307,-27.611,18.1384,-4.07746e-05,-0.965316,9.0171,-8.36739,-92.933,-30.9024,9.46473,-9.0164e-05,105.466,8.90232,-2.98697,4.00268,-8.18116,-3.34213,8.85911,-0.1413,3.83454,-7.11184,-3.36253,9.41456,-0.340669,-18.9781,-1.65309,34.5672,-4.13765,10.8418,-2.45658,-41.4448,-45.5942,-51.9412,-99.137,-19.1113,70.4848,2.52636e-07,-29.6083,21.7271,-14.0762,-103.419,-45.9924,39.2683,-1.11577e-08,15.5459,13.9271,-35.8119,-32.1206,62.2388,-16.3441,25.014,33.7788,-10.9239,-2.47646,-14.5506,41.1068,-3.99822,0,0,1,1,-0.203901,0,-0.470992,0.758203,-3.95348,0.0357876,-132.402,690.378,-6.24943,-0.213667,0,-0.753947,-1.33615,3.48091,0.176164,-162.599,423.599,21.4378,0.000410233,0.0436269,40.7786
1.33,-0.170414,-0.0018232,-0.03039,-0.381229,0.694727,-0.591645,1.29475,-0.0822526,-0.0204617,1.4278,0.359212,-0.2112,-0.14394,1.23191,-0.241116,-0.0302665,1.48982,0.533981,0.0127129,-0.14398,-0.518438,-0.0359313,0.121451,0.541028,-0.791389,0.157583,1.48375,1.30141,0.359768,-0.653522,0.253791,1.79471,1.99429,0.121411,0.293401,-0.803632,0.0619234,-1.50865,0.0354546,3.86806,0.0553725,0.767817,5.92259,2.8468,1.32332,-3.99306e-05,3.51496,-0.552861,0.709565,6.04369,2.50013,-0.0814988,-3.29171e-05,-3.0761,-0.721735,0.411487,15.3516,1.75437,10.3452,-6.58105,-3.40221,11.6732,1.60828,4.92504,-4.78739,-5.36116,-24.9284,17.1122,2.47896,-1.59674,-1.11005,0.112838,-114.149,6.94046,-3.92189,-90.0776,-26.2137,17.1698,-6.55367e-05,-35.5089,14.0119,-9.28337,-86.0499,-32.6935,11.0764,-0.000146704,127.845,6.02807,-4.35556,6.82094,-9.93938,-4.59154,10.0608,-0.150371,4.38536,-7.24269,-3.41431,10.0525,-0.253226,-23.2035,-7.85909,36.4616,-1.70375,11.2298,-2.72427,-23.9639,-44.651,-44.3553,-77.276,-19.9724,48.4681,1.44322e-07,-11.7899,21.443,-4.28669,-84.5972,-36.8297,31.6581,-1.12438e-07,26.256,23.8556,-32.3489,-57.1221,52.5276,-40.3588,47.3582,59.0825,-22.6061,-0.379081,-17.4726,51.1829,90.0722,0,0,1,1,-0.214563,0,-0.471597,0.448788,-4.26938,0.039615,-75.7125,720.263,-6.68321,-0.233986,0,-0.749899,-1.01688,4.88404,0.111233,-103.642,497.79,11.337,0.000472295,0.0510802,30.4006
1.34,-0.17152,0.000324907,-0.0347802,-0.38078,0.680764,-0.591563,1.33103,-0.086164,-0.0172191,1.4793,0.385683,-0.19312,-0.14394,1.26588,-0.2445,-0.0235996,1.5418,0.5553,0.0150637,-0.14398,-0.546573,-0.0407631,0.122331,0.688832,-0.768592,0.256999,1.42267,1.27329,0.474239,-0.637477,0.301294,1.75195,1.94969,-0.110624,0.21481,-0.439015,0.0448859,-1.39635,0.00821188,3.62842,-0.391138,0.324264,5.14983,2.64707,1.808,-3.99292e-05,3.39706,-0.338432,0.666698,5.19771,2.13183,0.235082,-3.29182e-05,-2.81354,-0.483179,0.0879987,14.7803,2.27965,9.94161,-6.10747,-2.81139,11.4471,1.60449,4.75032,-4.27556,-4.46044,-35.3805,4.46838,2.84201,-1.70975,-0.683028,-0.284841,-112.542,5.77958,-1.95247,-80.8459,-24.2197,16.0428,-7.80675e-05,-58.4481,11.5262,-5.79129,-84.5698,-33.6651,11.4144,-0.00017304,140.803,5.70359,-6.82639,8.63885,-10.7925,-5.37052,10.4792,-0.156302,4.91561,-6.42702,-3.17355,10.5073,-0.207948,-23.3949,-13.0422,35.4152,-0.200472,10.4652,-2.47953,-12.4896,-39.1008,-35.5657,-58.058,-23.5382,25.7971,1.35473e-07,1.32052,19.2327,4.00464,-65.0377,-32.978,24.1051,-1.29913e-07,29.9258,30.4828,-26.0308,-78.2851,40.1,-63.7129,70.903,71.7805,-30.2364,1.69545,-20.452,63.0823,137.298,0,0,1,1,-0.219331,0,-0.470884,0.302973,-4.50991,0.0491044,-45.7769,681.413,-7.4193,-0.245712,0,-0.748896,-0.599614,5.16734,0.160557,-64.0288,551.787,17.1449,0.000523524,0.0528569,35.8231
1.35,-0.174966,0.00116879,-0.0356288,-0.380351,0.667847,-0.591729,1.36607,-0.0939855,-0.017533,1.52499,0.4098,-0.17246,-0.143941,1.29999,-0.245961,-0.0165321,1.58727,0.57332,0.0198251,-0.14398,-0.571716,-0.0425466,0.120608,0.828807,-0.741786,0.350043,1.36869,1.25236,0.585686,-0.621263,0.346752,1.71551,1.91881,-0.344573,0.0843886,-0.084863,0.0428812,-1.2917,-0.0165834,3.50353,-0.782146,-0.0313931,4.56925,2.41169,2.06597,-3.99278e-05,3.41027,-0.146104,0.706744,4.54734,1.80205,0.476133,-3.29195e-05,-2.51429,-0.178351,-0.172309,13.9975,2.68065,9.30448,-5.39844,-2.09358,11.1448,1.62144,4.5458,-3.64473,-3.08746,-21.8886,-0.629242,-0.0678926,-0.282576,-0.307315,-0.717989,-104.727,6.05086,0.106543,-69.5252,-22.1269,15.0933,-8.4275e-05,-58.3203,8.56752,-3.2387,-89.1731,-34.1078,11.6416,-0.000182147,144.07,6.63625,-9.15769,8.98156,-10.73,-5.50676,10.2024,-0.157958,5.06633,-5.11712,-2.73633,10.657,-0.193164,-20.3188,-16.1717,31.9376,0.415918,8.98577,-1.95287,-6.96609,-30.0911,-25.9785,-43.1322,-26.9917,4.48479,1.38362e-07,8.35644,16.0041,9.3836,-47.8586,-30.9964,17.0345,-1.3129e-07,27.8501,32.5813,-18.313,-95.058,26.4279,-85.8762,93.7937,71.8675,-33.979,3.32465,-23.088,74.0344,146.689,0,0,1,1,-0.222069,0,-0.469518,0.204772,-5.17335,0.0734198,-24.2834,613.496,-8.70669,-0.247247,0,-0.749856,-0.561522,5.12204,0.231425,-61.6972,562.785,25.4278,0.000520099,0.051015,21.9135
1.36,-0.180443,0.000395507,-0.0332837,-0.379881,0.655828,-0.59209,1.40041,-0.104816,-0.0204448,1.56637,0.431218,-0.151352,-0.143941,1.33493,-0.245822,-0.00852631,1.62796,0.588241,0.0262898,-0.143981,-0.594074,-0.0410719,0.117053,0.959276,-0.712337,0.434501,1.32408,1.23861,0.693736,-0.604716,0.389901,1.68646,1.90261,-0.547761,-0.0773287,0.234513,0.0470404,-1.20184,-0.0361121,3.43386,-1.08306,-0.291179,4.13792,2.14177,2.11082,-3.99264e-05,3.49383,0.0139366,0.80058,4.06875,1.49209,0.646477,-3.29209e-05,-2.23578,0.147463,-0.355439,13.0469,2.94493,8.44572,-4.4605,-1.37491,10.805,1.65469,4.31492,-2.90439,-1.62057,2.43378,-0.424601,-1.66594,0.0568992,-0.449177,-0.863768,-86.7394,9.47098,-0.453571,-59.3885,-20.2174,14.3035,-8.22966e-05,-48.5548,7.29872,-2.29602,-90.1895,-33.9557,11.8705,-0.000174978,135.693,8.25138,-10.1511,7.5969,-9.74539,-4.89491,9.32311,-0.149044,4.57922,-3.63067,-2.13217,10.3544,-0.192973,-16.0474,-16.4227,26.7416,0.356808,6.75232,-1.23865,-5.40315,-19.1211,-16.0493,-32.7007,-28.9539,-13.9297,1.42519e-07,9.98851,12.4816,11.2157,-34.8646,-28.5634,10.7302,-1.57372e-07,22.5634,29.9199,-10.7046,-107.163,13.3177,-105.802,113.213,62.5865,-34.8758,4.42611,-25.5264,81.5471,129.85,0,0,1,1,-0.2206,0,-0.467591,0.234583,-5.90846,0.0739661,-20.5572,517.776,-6.48186,-0.24252,0,-0.751319,-0.731184,5.27735,0.282766,-73.4564,530.175,28.4074,0.000480317,0.0500827,3.13529
1.37,-0.187525,-0.00202005,-0.0282644,-0.379375,0.644485,-0.592575,1.43421,-0.117559,-0.0249615,1.60448,0.44974,-0.131637,-0.143942,1.37086,-0.244435,0.000601062,1.66516,0.600306,0.0338276,-0.143981,-0.614175,-0.0366053,0.112429,1.07903,-0.681556,0.508378,1.2908,1.23112,0.798298,-0.587727,0.430498,1.66557,1.89939,-0.708235,-0.241556,0.501929,0.0506084,-1.13432,-0.0484986,3.37983,-1.27427,-0.451672,3.81092,1.85224,1.97153,-3.9925e-05,3.59372,0.138753,0.912737,3.7201,1.20646,0.753779,-3.29224e-05,-2.01015,0.446662,-0.462484,11.9753,3.0781,7.3877,-3.32837,-0.74904,10.4562,1.69895,4.05965,-2.08892,-0.322067,17.6372,-0.78458,-0.944378,0.172747,0.557265,-0.755729,-66.7877,12.3364,-1.46063,-52.2455,-18.9926,13.6307,-7.66064e-05,-40.8577,6.54706,-1.29927,-84.4635,-33.4198,11.7667,-0.000166318,119.068,7.49458,-10.0007,5.12589,-8.29805,-3.81823,8.18496,-0.133587,3.58393,-2.36635,-1.48563,9.66734,-0.201458,-12.5934,-14.2796,20.2447,0.106528,4.6294,-0.407833,-5.36697,-7.75855,-6.30169,-26.127,-29.1917,-28.3859,2.78367e-07,7.89187,9.04701,9.5504,-26.5173,-24.6973,5.47475,-3.45751e-08,16.6224,22.8599,-4.45258,-114.408,2.46178,-121.862,126.156,48.4323,-34.4026,5.15603,-28.162,84.0687,97.7283,0,0,1,1,-0.214848,0,-0.464126,0.405903,-6.1247,0.0830153,-28.2676,426.532,-5.78129,-0.235011,0,-0.753088,-0.918019,5.47022,0.33189,-79.9314,476.289,28.8975,0.000443125,0.0488883,17.7057
