time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
1.42,-0.262309,-0.0571975,0.0275695,-0.386666,0.927219,-0.610649,0.741899,-0.106522,-0.230071,0.37556,-0.544431,-0.039076,-0.0939196,0.745668,-0.233293,-0.150172,0.308322,-0.455601,0.0805889,-0.09392,-0.423649,0.0638183,-0.0585385,-0.432651,-0.719176,-0.0822644,1.14408,1.73251,-0.598547,-0.285364,-0.252286,1.0351,0.527441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.121388,0,-0.443361,-0.207416,0.336591,-0.00588129,-51.0827,82.8962,-1.44845,-0.0898608,0,-0.810532,0.120184,-0.181611,-0.0198129,-60.7996,91.8747,10.0231,0.00052358,0.0385042,0
1.43,-0.26553,-0.0477302,0.0229159,-0.3792,0.897087,-0.610175,0.803349,-0.112146,-0.189822,0.522971,-0.312995,-0.069311,-0.0939091,0.80421,-0.219675,-0.106105,0.453337,-0.233087,0.0401585,-0.0939094,-0.416456,0.0508341,-0.0622365,-0.399027,-0.733774,-0.0613578,1.12321,1.73417,-0.582701,-0.298313,-0.228243,0.977087,0.99395,-0.322104,0.946726,-0.46536,0.746591,-3.01324,0.0473657,6.14505,-0.56236,4.02487,14.7411,23.1436,-3.02349,0.00105353,5.85415,1.36175,4.40666,14.5015,22.2514,-4.04304,0.00105866,0.719372,-1.29843,-0.369796,3.36233,-1.45988,2.09066,-2.08708,0.166095,1.58466,-1.29492,2.40435,-5.80102,46.6509,176.436,41.3028,-20.1317,341.525,811.128,-111.824,107.26,-47.7999,2.17627,-82.4301,-30.0831,15.5386,1.56164e-05,115.769,-64.1484,4.1258,-75.6404,-28.4569,-0.341533,-4.04996e-05,8.16955,16.7708,-8.21861,-1.29702,0.464082,0.95385,4.16038,-0.0773386,3.73346,-18.4853,-8.66558,5.85729,-1.70802,-20.4091,-16.0946,-4.33962,-8.19651,15.1738,-1.28819,17.035,15.8405,-39.0368,-86.1172,-322.453,47.1029,7.12808e-06,38.7367,-21.2929,-50.4287,-58.9805,-352.181,40.5205,7.40448e-06,-16.9894,22.5724,12.1256,75.2207,16.5157,47.432,16.876,2.81508,61.054,-7.56002,-31.1856,149.01,-1189.88,0,0,1,1,-0.13386,0,-0.434085,-0.614413,1.1404,-0.0630253,-270.13,501.382,-27.7094,-0.110831,0,-0.818264,0.457477,-0.781403,-0.100095,-256.086,437.413,56.0308,0.000447114,0.0402251,905.712
1.44,-0.270792,-0.0398724,0.0178283,-0.372554,0.868472,-0.60983,0.866503,-0.116185,-0.153477,0.661771,-0.113805,-0.0948356,-0.0938985,0.866625,-0.208187,-0.0670814,0.592454,-0.0457914,0.00378017,-0.0938988,-0.410961,0.040107,-0.0647219,-0.357882,-0.746722,-0.0357079,1.10403,1.73611,-0.560749,-0.312019,-0.207318,0.933977,1.34147,-0.526194,0.78578,-0.508756,0.664626,-2.8615,0.0344838,6.3154,-0.403955,3.63451,13.8799,19.919,-2.55247,0.0010536,6.24151,1.14882,3.90237,13.9117,18.7296,-3.63783,0.00105873,0.549478,-1.0727,-0.248541,4.11454,-1.29472,2.56499,-1.91832,0.194246,2.1952,-1.37052,2.0925,-4.31092,34.7522,91.3502,54.0766,0.123455,306.452,476.687,-116.47,54.3297,-52.7046,6.21732,-78.0528,-54.7094,24.731,4.81688e-05,56.1102,-91.4624,13.549,-65.2692,-42.973,1.68283,2.57561e-05,12.99,15.437,-11.3199,-1.18159,-0.60872,0.600865,4.13429,-0.0807179,9.21597,-17.7539,-8.26709,8.46562,-1.70522,-19.1368,-16.1841,-4.27718,-8.54451,15.7441,-1.08393,14.4249,15.3402,-39.3535,-88.5896,-325.404,46.8848,3.74568e-06,34.7191,-21.3743,-50.314,-63.1026,-351.453,41.3848,4.05592e-06,-18.4323,22.1823,10.9521,76.0634,16.2693,48.8381,18.1103,2.64243,59.2212,-7.41586,-28.9601,143.162,-1112.9,0,0,1,1,-0.142817,0,-0.431235,-0.858012,2.17574,-0.232703,-266.612,676.072,-72.3082,-0.135627,0,-0.818542,1.0403,-2.70797,-0.586703,-221.053,575.414,124.668,0.000378378,0.0411112,588.198
1.45,-0.277968,-0.033633,0.012313,-0.366762,0.841431,-0.609594,0.9311,-0.118691,-0.121067,0.791711,0.0528455,-0.115672,-0.093888,0.932512,-0.198836,-0.0330891,0.72526,0.106359,-0.0284597,-0.0938882,-0.407309,0.0315982,-0.0661121,-0.30913,-0.758042,-0.00517428,1.08665,1.73832,-0.532875,-0.326465,-0.189289,0.905184,1.5777,-0.717562,0.623939,-0.551528,0.579181,-2.70406,0.0236445,6.45965,-0.250553,3.24097,12.994,16.665,-2.08362,0.00105364,6.58871,0.935076,3.39923,13.2806,15.215,-3.22399,0.00105878,0.365155,-0.850881,-0.13902,4.87517,-1.13203,3.05337,-1.73721,0.22067,2.78742,-1.44468,1.80289,-2.87931,23.6231,-161.185,-7.45332,2.18334,40.0288,149.471,-56.2317,-27.0341,-49.3117,10.5692,-50.5108,-57.7369,25.0171,7.12775e-05,-129.699,-62.4063,19.3893,-11.1815,-42.9208,7.67819,6.71471e-05,17.9381,16.8346,-11.2548,-0.70862,-2.15997,0.098089,4.27395,-0.0926164,10.4214,-14.1372,-6.59188,9.48568,-1.51613,-14.3407,-15.5243,-3.83473,-7.63299,16.6025,-0.577555,6.81792,13.8686,-40.373,-94.2882,-325.605,46.5619,4.74808e-07,23.0087,-21.3494,-49.235,-73.8652,-341.376,43.3218,6.43552e-07,-21.8953,21.7389,8.49275,76.1186,15.65,50.8263,22.3083,1.99777,54.1269,-7.03243,-24.8523,132.415,-952.124,0,0,1,1,-0.167081,0,-0.432403,-0.23805,1.11782,-0.134638,-150.64,707.369,-85.2002,-0.197703,0,-0.806767,-0.0158002,0.477953,0.0676939,-28.3386,857.237,121.413,0.000332902,0.0398842,230.536
1.46,-0.286578,-0.0289461,0.00641427,-0.361733,0.816051,-0.609415,0.996378,-0.119809,-0.0926946,0.912223,0.186935,-0.131852,-0.0938775,1.0007,-0.19162,-0.00402029,0.85068,0.224372,-0.0563674,-0.0938776,-0.405847,0.0252633,-0.066653,-0.252767,-0.767797,0.030442,1.07151,1.74072,-0.499588,-0.341615,-0.173745,0.889633,1.71872,-0.86097,0.468696,-0.589875,0.502851,-2.53803,0.017869,6.52783,-0.111868,2.83724,12.0512,13.409,-1.618,0.00105365,6.81879,0.721582,2.90688,12.542,11.8013,-2.79077,0.00105878,0.146202,-0.633492,-0.0540923,5.63636,-0.975526,3.56163,-1.51413,0.240648,3.32869,-1.515,1.55437,-1.55515,14.1019,-260.027,-71.3502,-3.85837,5.29526,-273.34,-46.2209,-67.7558,-12.0538,3.1905,-89.7635,-59.7715,35.0332,7.35415e-05,-241.19,7.71954,-2.31258,-28.3107,-42.581,18.0403,6.43001e-05,39.3634,8.99606,-11.3596,-3.02845,-5.32006,-0.525377,4.30978,-0.103464,3.31663,-11.6506,-4.99697,8.13468,-1.19454,-7.8897,-14.7634,-2.58345,-6.39661,23.2341,-1.1538,-7.56271,10.7878,-42.1184,-101.897,-312.457,46.7742,-2.63148e-06,1.68836,-20.5482,-46.6477,-90.1711,-311.953,45.9685,-2.63194e-06,-27.6754,20.6382,4.90982,72.6654,14.4788,51.567,30.3621,0.529452,44.8658,-6.61315,-20.0344,120.085,-736.634,0,0,1,1,-0.203672,0,-0.439348,0.452949,-3.06779,0.243736,-151.611,1026.85,-81.5833,-0.223058,0,-0.798884,0.124409,5.7731,0.365211,27.7685,1288.58,81.5165,0.000336686,0.0390735,386.78
1.47,-0.295976,-0.0257355,0.000257173,-0.357345,0.792994,-0.609352,1.0609,-0.119849,-0.068534,1.02254,0.289779,-0.143354,-0.0938669,1.06906,-0.186459,0.0203837,0.967083,0.311189,-0.0796782,-0.0938671,-0.407153,0.0209922,-0.0667029,-0.189136,-0.776104,0.071215,1.05941,1.74318,-0.461814,-0.357427,-0.160205,0.88609,1.78608,-0.939867,0.321062,-0.61571,0.438885,-2.30569,0.00633094,6.4522,-0.00398987,2.41606,11.0322,10.2844,-1.15025,0.00105362,6.83568,0.5161,2.4404,11.6403,8.68174,-2.33108,0.00105876,-0.130552,-0.42711,-0.00499411,6.36301,-0.830738,4.0773,-1.21051,0.245942,3.77734,-1.58113,1.35403,-0.354306,6.73554,-185.354,-2.96851,-3.04986,37.9721,-308.405,-36.5545,-128.831,11.2469,-2.79635,-125.628,-59.9607,41.1877,7.11608e-05,-128.501,17.6131,-9.02621,-78.0467,-40.5499,20.1193,5.56474e-05,51.6761,3.3859,-10.1967,-4.15533,-6.775,-0.731217,4.16607,-0.101933,-2.50904,-8.81599,-3.38243,6.23077,-0.832253,0.158828,-13.7397,-0.577219,-5.70417,24.5426,-1.39943,-27.1255,6.21775,-44.0854,-110.007,-279.93,47.4585,-5.37431e-06,-26.1366,-18.312,-42.5917,-108.699,-261.242,48.1038,-5.36639e-06,-33.8005,18.8785,0.949326,63.4776,12.7848,48.9627,41.5023,-2.06669,31.9787,-6.53105,-15.14,108.626,-506.568,0,0,1,1,-0.22305,0,-0.442981,0.698544,-7.19535,0.474532,-124.972,1287.27,-84.8954,-0.213523,0,-0.798488,-0.582562,7.63131,0.489153,-79.6114,1042.87,66.8463,0.000353621,0.0389873,363.683
1.48,-0.305359,-0.0238988,-0.00595764,-0.353526,0.772391,-0.609428,1.12271,-0.119267,-0.048782,1.12187,0.36463,-0.150111,-0.0938564,1.1348,-0.18313,0.0405286,1.07262,0.371882,-0.0981786,-0.0938565,-0.411838,0.018609,-0.0666579,-0.119159,-0.783133,0.116884,1.05145,1.74544,-0.420843,-0.373891,-0.148178,0.893409,1.80278,-0.938279,0.183665,-0.621482,0.381843,-2.06027,-0.00766341,6.18095,0.0581876,1.9752,9.93211,7.48509,-0.675669,0.00105357,6.57431,0.33298,2.01448,10.5533,6.06932,-1.85004,0.0010587,-0.468557,-0.238325,0.00449915,6.99779,-0.702889,4.56693,-0.795485,0.225275,4.09713,-1.64644,1.20263,0.731954,1.66986,45.0413,38.899,-3.1051,127.057,1.15457,-37.2025,-61.5647,10.7767,-4.00388,-159.989,-58.3543,36.9228,6.14301e-05,27.852,6.97966,-5.20721,-124.815,-40.4795,17.4697,4.15861e-05,61.9773,-0.477936,-8.61694,-5.99699,-6.74063,-0.389021,3.41383,-0.0740856,-8.12977,-5.30518,-1.67866,3.8386,-0.475653,5.89281,-12.4283,1.84091,-6.78527,22.3762,-1.34896,-47.3331,1.26916,-45.0401,-116.982,-230.716,46.9324,-7.77761e-06,-53.5673,-14.8014,-37.2173,-124.77,-197.341,47.8265,-7.60404e-06,-37.2949,16.3351,-2.09302,47.2099,10.6664,40.9307,53.4535,-5.92635,17.1278,-7.24425,-9.78348,98.1718,-297.349,0,0,1,1,-0.214073,0,-0.442968,1.35215,-7.17314,0.545276,-210.784,1118.2,-85.0017,-0.174974,0,-0.802684,-1.86523,4.88773,0.531355,-254.664,667.332,72.547,0.000374971,0.0405965,145.19
1.49,-0.314152,-0.023305,-0.0119884,-0.350386,0.754026,-0.60964,1.17979,-0.118559,-0.0335339,1.20949,0.416409,-0.152174,-0.0938458,1.19519,-0.18128,0.0569517,1.16567,0.412841,-0.111896,-0.0938459,-0.420253,0.0178592,-0.0668222,-0.0444597,-0.789096,0.166647,1.04884,1.7471,-0.378159,-0.39108,-0.13713,0.910546,1.78974,-0.879351,0.0593827,-0.603073,0.313991,-1.83651,-0.021153,5.70761,0.0708792,1.5248,8.76229,5.17793,-0.206346,0.00105349,6.03864,0.184966,1.64231,9.30559,4.09591,-1.37178,0.00105863,-0.841506,-0.0749731,-0.0164311,7.46989,-0.596226,4.97623,-0.26095,0.166012,4.26841,-1.71889,1.10479,1.71367,-1.30363,143.323,31.3339,4.41559,236.677,227.802,-34.8411,9.30954,10.3087,-5.72313,-167.268,-57.2855,30.3144,4.49261e-05,59.5028,4.37768,-4.55326,-126.49,-40.3826,15.0389,2.33791e-05,66.8864,-1.13236,-6.27155,-7.11952,-7.93195,-0.360051,2.83345,-0.0619952,-12.7723,-3.13962,-0.434642,2.07447,-0.19716,8.33333,-10.0907,3.81052,-5.09917,20.2368,-1.25663,-61.5829,-2.30735,-43.6372,-121.203,-173.581,43.0285,-1.00013e-05,-72.0022,-10.6413,-30.6581,-134.324,-133.03,43.7335,-9.75568e-06,-34.476,13.4118,-2.77119,23.6017,8.29062,25.8781,63.4064,-10.8923,2.50199,-8.93161,-3.20765,87.1299,-131.918,0,0,1,1,-0.192054,0,-0.441803,1.75182,-5.42589,0.483187,-278.399,862.282,-76.7879,-0.142982,0,-0.803488,-1.50004,2.62967,0.346202,-286.368,502.024,66.0926,0.00038343,0.0411234,361.478
1.5,-0.322113,-0.0237202,-0.017638,-0.347756,0.737685,-0.609977,1.2307,-0.118081,-0.0226496,1.28499,0.45083,-0.149935,-0.0938353,1.24837,-0.180494,0.070309,1.2453,0.440497,-0.121241,-0.0938353,-0.432116,0.0184507,-0.0672637,0.0325994,-0.794229,0.218997,1.05257,1.74767,-0.335225,-0.409162,-0.126403,0.936396,1.76351,-0.796017,-0.0415244,-0.564967,0.262999,-1.63414,-0.0337193,5.09179,0.0478057,1.08843,7.55026,3.44212,0.223939,0.00105339,5.31862,0.0785529,1.33573,7.96235,2.7656,-0.934444,0.00105853,-1.18627,0.0591449,-0.044143,7.7059,-0.51332,5.23501,0.373114,0.0570892,4.29343,-1.8082,1.07272,2.58497,-2.62281,94.2904,13.3094,5.01215,148.6,286.406,-15.3554,-6.68626,6.45042,-2.9078,-141.984,-57.3995,25.6728,2.45047e-05,19.7972,6.37744,-5.25883,-105.138,-40.8398,14.9649,2.64287e-06,79.3081,-2.26101,-4.39822,-9.44168,-9.5427,-0.170339,1.84707,-0.0403816,-17.8899,-1.3355,0.678567,0.317134,0.0158405,5.3565,-7.73911,4.73413,-3.81461,18.5738,-0.981576,-66.0354,-3.57562,-39.0137,-120.729,-118.296,34.8589,-1.20522e-05,-77.0431,-6.26516,-23.2376,-134.563,-79.3286,35.7048,-1.17825e-05,-24.424,9.72341,-0.526944,-6.20755,5.80727,3.67744,68.8196,-16.4073,-10.3278,-11.1494,4.53905,73.5976,-18.9297,0,0,1,1,-0.178926,0,-0.440487,1.63723,-4.99568,0.520321,-239.499,730.783,-76.1142,-0.138955,0,-0.801624,-1.40816,2.85015,0.331889,-230.398,466.332,54.3024,0.000371743,0.040612,336.807
1.51,-0.329537,-0.0249094,-0.0228143,-0.345508,0.723201,-0.610412,1.27502,-0.11796,-0.0156667,1.34842,0.473422,-0.14421,-0.0938248,1.29385,-0.180335,0.0813425,1.31146,0.460221,-0.127015,-0.0938247,-0.446421,0.0200145,-0.0677578,0.109038,-0.798781,0.271715,1.06319,1.7466,-0.293323,-0.428359,-0.115222,0.969605,1.73539,-0.742452,-0.118915,-0.517626,0.224853,-1.4484,-0.0435351,4.43143,0.0120495,0.698293,6.34297,2.25917,0.572528,0.00105327,4.54818,0.0159013,1.10335,6.61673,1.97232,-0.577396,0.00105841,-1.43051,0.156379,-0.0494124,7.64383,-0.455247,5.27179,1.06131,-0.106984,4.19015,-1.9197,1.11811,3.32095,-2.8121,38.5809,4.62504,4.2743,53.9823,194.398,0.833903,-42.7584,6.46595,-0.458545,-123.726,-59.2954,24.5024,5.79994e-06,-19.2936,9.99733,-6.21675,-93.933,-43.0608,16.8099,-1.39126e-05,92.2293,-2.7662,-2.44843,-12.3197,-10.7273,0.336374,0.599996,-0.00943077,-22.5853,0.0674033,1.62867,-1.37167,0.161783,-2.32329,-5.27028,4.65053,-3.0261,16.3235,-0.612171,-60.2248,-2.60445,-31.5072,-114.503,-72.0526,23.4095,-1.38958e-05,-68.8161,-1.92928,-15.5805,-125.295,-42.0724,24.813,-1.36121e-05,-8.92086,5.66793,3.86433,-39.0619,3.44063,-23.3765,67.7516,-21.4698,-20.8689,-12.9342,11.9149,56.5274,44.922,0,0,1,1,-0.176461,0,-0.43989,1.62768,-6.03349,0.655982,-190.072,704.56,-76.6022,-0.146344,0,-0.799953,-1.57668,4.241,0.416396,-183.866,494.568,48.5584,0.000353501,0.0397899,205.508
1.52,-0.337194,-0.0266256,-0.0275255,-0.343562,0.710349,-0.610909,1.31331,-0.1181,-0.0118345,1.4004,0.488809,-0.136144,-0.0938142,1.33245,-0.180369,0.090818,1.3651,0.475736,-0.130307,-0.0938141,-0.461618,0.022145,-0.0678655,0.18157,-0.80299,0.322095,1.08058,1.74338,-0.253508,-0.448849,-0.10285,1.00847,1.71176,-0.765685,-0.171618,-0.471121,0.194592,-1.28516,-0.0496568,3.82918,-0.013995,0.383221,5.19794,1.53864,0.806623,0.00105313,3.86002,-0.00339149,0.947548,5.36378,1.55159,-0.329266,0.00105827,-1.51971,0.213058,-0.0107691,7.25321,-0.420841,5.03802,1.73883,-0.321682,3.98146,-2.04904,1.23726,3.88622,-2.36288,21.2766,-1.91133,7.66905,8.26266,48.6776,1.87977,-55.6164,10.7892,-0.621079,-123.773,-61.3578,25.0574,-8.96984e-06,-48.9566,12.984,-7.80357,-94.0851,-46.0751,18.8881,-2.55669e-05,103.416,-2.84951,-0.316157,-15.4207,-11.2317,1.14869,-0.755393,0.0283735,-26.7835,0.955088,2.37758,-3.06317,0.251827,-12.2678,-2.71563,4.11968,-2.73906,13.6994,-0.345593,-46.8008,-0.557688,-22.3773,-102.953,-38.3394,10.8329,-1.55295e-05,-51.3533,2.34021,-8.68063,-108.813,-21.6051,12.8507,-1.52401e-05,8.58542,1.7736,8.41511,-70.1196,1.52717,-50.6542,59.098,-24.6968,-29.584,-13.1126,16.3977,35.9532,70.5014,0,0,1,1,-0.174951,0,-0.440056,1.84163,-7.24042,0.755139,-180.636,710.175,-74.0677,-0.156659,0,-0.797796,-1.48652,5.34507,0.464222,-155.563,559.359,48.5805,0.000349907,0.0391818,54.3735
1.53,-0.346078,-0.0286133,-0.0318248,-0.34189,0.698867,-0.61144,1.34692,-0.118296,-0.01024,1.44208,0.500361,-0.126994,-0.0938037,1.36592,-0.180169,0.0994254,1.40786,0.489092,-0.132315,-0.0938036,-0.475957,0.024453,-0.0671317,0.24709,-0.807045,0.36741,1.10387,1.73769,-0.216652,-0.470651,-0.0888374,1.05092,1.69518,-0.888363,-0.198775,-0.429924,0.167201,-1.14817,-0.0531127,3.36118,-0.0195719,0.159447,4.16841,1.15524,0.914952,0.00105297,3.34649,0.0200106,0.860742,4.27565,1.33554,-0.200759,0.00105812,-1.43386,0.230794,0.0733819,6.55201,-0.405569,4.53148,2.32981,-0.56865,3.68562,-2.18016,1.40123,4.24575,-1.65787,13.7514,-7.33466,14.4497,-5.19145,-10.386,-14.9954,-56.3416,11.1123,0.882228,-127.38,-62.5506,24.9684,-2.09664e-05,-75.2443,7.32199,-5.4879,-95.7022,-48.7451,19.7235,-3.72914e-05,115.707,-3.04378,1.48195,-18.2171,-12.0574,1.89587,-1.98281,0.0622566,-30.8099,0.985564,2.8415,-4.66545,0.296943,-21.4736,-0.188981,3.78765,-2.29744,12.4914,-0.303506,-30.0433,1.10831,-13.1932,-87.8832,-17.3255,-0.571511,-1.69864e-05,-30.5238,6.45736,-3.57869,-88.929,-14.2417,1.7899,-1.67479e-05,24.2895,-1.41401,10.7805,-94.0847,0.47541,-72.5003,43.0448,-24.5511,-37.5099,-10.741,15.532,12.8321,71.491,0,0,1,1,-0.174094,0,-0.440156,1.93224,-7.69329,0.828359,-180.313,717.922,-77.3008,-0.16749,0,-0.796571,-1.07333,5.49374,0.542004,-124.343,636.437,62.7899,0.000371722,0.0386131,28.4846
1.54,-0.357109,-0.0306199,-0.0357452,-0.340448,0.688635,-0.612002,1.37753,-0.118381,-0.00996487,1.47498,0.510181,-0.117902,-0.0937932,1.39633,-0.179323,0.107675,1.44172,0.501023,-0.134144,-0.093793,-0.487866,0.0266195,-0.0653198,0.303202,-0.811053,0.405474,1.13148,1.72955,-0.183547,-0.493527,-0.0732719,1.09467,1.68575,-1.1031,-0.200664,-0.392047,0.144227,-1.02326,-0.0561478,3.06074,-0.00848875,0.027515,3.28958,0.98199,0.909237,0.0010528,3.04125,0.0845842,0.824955,3.38636,1.19313,-0.18286,0.00105795,-1.19096,0.216654,0.181187,5.61117,-0.400815,3.80648,2.76025,-0.814161,3.31052,-2.28757,1.55655,4.37407,-0.942958,-0.191899,-8.79531,17.2679,4.25767,11.3888,-9.43274,-62.7485,8.81596,3.59241,-123.427,-63.0033,24.584,-2.8839e-05,-91.8777,2.38041,-3.19627,-94.826,-50.0552,20.1298,-4.80475e-05,125.591,-1.03002,2.75467,-19.8728,-13.5659,2.25412,-3.0576,0.0885021,-33.8129,0.739857,3.14653,-5.94639,0.309854,-27.4799,1.9227,3.9823,-1.32856,12.3531,-0.0526128,-14.4117,1.57815,-5.42195,-71.8966,-6.94643,-9.16897,-1.82503e-05,-11.9501,10.0218,-0.732808,-69.5706,-14.4992,-6.78293,-1.81115e-05,35.2332,-3.37222,10.412,-108.706,0.249266,-86.2216,21.8049,-19.7833,-44.6288,-5.52871,9.39007,-11.9231,60.4084,0,0,1,1,-0.176088,0,-0.440412,1.78741,-8.09459,0.900609,-159.737,723.396,-80.4855,-0.175289,0,-0.795786,-0.755013,5.59307,0.610418,-92.9371,688.47,75.1384,0.000403793,0.0377369,24.7464
1.55,-0.370888,-0.0324343,-0.0392675,-0.339138,0.679637,-0.612568,1.4067,-0.118308,-0.0102319,1.50069,0.519306,-0.109726,-0.0937827,1.42555,-0.177475,0.115851,1.46863,0.511505,-0.136651,-0.0937824,-0.496253,0.0284489,-0.0624667,0.348443,-0.815037,0.434917,1.16126,1.71943,-0.154905,-0.516955,-0.0567673,1.13721,1.68236,-1.3779,-0.181437,-0.352224,0.130941,-0.899726,-0.0566739,2.91663,0.00729272,-0.0267045,2.57061,0.912526,0.817548,0.00105262,2.92175,0.184802,0.817627,2.69066,1.04814,-0.25069,0.00105777,-0.838632,0.182932,0.285307,4.5241,-0.398322,2.94426,2.9783,-1.01199,2.86423,-2.34286,1.65045,4.25484,-0.338875,-13.8342,-6.94179,15.4415,4.30077,27.3136,-4.3436,-76.3465,8.08711,5.33999,-114.231,-62.7631,24.3281,-3.12087e-05,-91.6299,2.93364,-3.75766,-90.5604,-49.0038,20.0346,-5.20471e-05,126.04,-0.516896,3.2651,-20.5794,-14.3597,2.50351,-4.02208,0.117401,-35.3173,0.632449,3.40348,-7.14874,0.312093,-29.5806,3.24026,4.66681,-0.64127,11.6578,-0.0845439,-3.44372,0.946957,0.0011342,-57.3152,-3.99771,-14.2332,-1.92642e-05,0.3463,12.3001,0.0543287,-53.5054,-17.2105,-11.8871,-1.91721e-05,39.5177,-4.02818,7.62859,-113.583,0.746181,-90.7871,-1.44827,-10.1204,-51.0887,2.07412,-0.898143,-36.6228,46.5324,0,0,1,1,-0.179883,0,-0.440963,1.50884,-8.61856,0.949722,-126.865,724.656,-79.8535,-0.17774,0,-0.794407,-0.669979,6.0297,0.637666,-75.4732,679.246,71.8331,0.000427221,0.0366235,35.5163
