time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0,-0.226537,-0.0317264,-0.0387525,-0.163854,0.92745,-0.585437,0.207274,-0.0890078,-0.13333,0.039756,0.172925,0.0147461,-0.10001,0.226677,-0.211414,-0.341151,0.142247,0.349695,0.431161,-0.100031,0.220671,0.0174691,0.00997037,-0.102757,-0.107785,-0.1037,0.52378,1.47577,-0.0957178,-0.130801,-0.154606,0.51738,1.66489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.245939,0,-0.401706,0.00497438,-1.1174,0.121487,-1.46217,328.449,-35.7098,-0.248781,0,-0.79371,0.00202797,1.19135,0.136363,0.549285,322.683,36.9345,0.000360833,0.0458825,0
0.01,-0.227299,-0.0313859,-0.0388911,-0.163907,0.927641,-0.585485,0.209666,-0.0895647,-0.138358,0.0428239,0.176632,0.0215339,-0.10001,0.227601,-0.211004,-0.34098,0.14213,0.34934,0.429936,-0.100031,0.221526,0.0172243,0.0100779,-0.102726,-0.10782,-0.103346,0.523529,1.47639,-0.0957694,-0.13098,-0.153667,0.517662,1.66285,-0.0761183,0.0340503,-0.0138564,-0.00532952,0.0190765,-0.00482162,0.239234,-0.0556839,-0.502804,0.306796,0.370696,0.678781,-1.71273e-06,0.0923987,0.0409556,0.0171263,-0.0116822,-0.0355506,-0.122502,1.84196e-06,0.0855053,-0.0244808,0.0107554,0.00311928,-0.00355395,0.035456,-0.025108,0.0623772,-0.00515468,-0.0178786,0.0938677,0.0281935,-0.203737,-0.253865,0.627111,0.490682,0.076602,0.872797,-0.21153,2.16353,-2.39877,1.13989,0.474681,-9.97252,-0.832468,-0.00444147,3.26297,2.72204,1.02758,-3.47849,-12.295,0.382693,-0.0101849,-4.84737,2.52737,0.335481,0.688662,-0.70707,-0.159573,0.923493,-0.0246757,0.798133,-0.672687,-0.155356,0.977769,-0.0333342,0.434446,0.19777,-0.0686674,-0.00200374,-0.0252299,0.00113427,-0.973517,-0.101109,1.06017,-1.08267,-1.23884,-1.32503,2.92061e-07,-0.781096,0.307769,0.215492,-0.512897,-0.101175,0.0395426,7.97107e-07,-0.638074,0.0126277,0.442883,-0.11164,0.242346,-1.03449,0.482072,-0.490024,0.462738,0.306338,-1.10154,0.289261,-1.13387,0,0,1,1,-0.246051,0,-0.401768,0.00471143,-1.12656,0.122357,-1.37209,328.085,-35.6336,-0.24876,0,-0.793655,0.00208577,1.20264,0.137771,0.560021,322.904,36.991,0.000356499,0.045584,1.22918
0.02,-0.228016,-0.0310257,-0.0390365,-0.163961,0.927829,-0.585533,0.211961,-0.0901316,-0.14328,0.0457836,0.180215,0.0281893,-0.10001,0.228447,-0.210564,-0.340787,0.141962,0.348974,0.428715,-0.100031,0.222317,0.0169808,0.0102298,-0.102706,-0.107832,-0.103094,0.523326,1.47697,-0.0957747,-0.131128,-0.152839,0.517973,1.6607,-0.0717738,0.036028,-0.014543,-0.00534956,0.0188242,-0.00481027,0.229499,-0.0566949,-0.492202,0.295969,0.358307,0.66553,-1.70981e-06,0.0845878,0.0440333,0.0192812,-0.0168112,-0.0365624,-0.122106,1.84993e-06,0.0791246,-0.0243545,0.0151842,0.00200288,-0.00113049,0.0251111,-0.0202873,0.0574769,-0.000527303,-0.0148153,0.0828523,0.0310861,-0.215076,-0.276979,0.619568,0.463602,0.0742342,0.863449,-0.212955,2.08461,-2.38995,1.15969,0.312279,-9.92161,-0.825986,-0.00444017,3.25523,2.6496,1.03575,-3.48685,-12.2772,0.370644,-0.0101823,-4.82711,2.51625,0.327634,0.689655,-0.707416,-0.159686,0.923185,-0.0247412,0.801438,-0.667912,-0.154784,0.979352,-0.0332172,0.470814,0.158205,-0.0651682,0.00352142,-0.0241608,0.00531619,-1.08844,-0.0384267,1.32935,-1.22554,-1.40969,-1.70617,2.89739e-07,-0.800207,0.244954,0.12279,-0.461061,-0.0627116,0.145627,8.01715e-07,-0.665739,0.0460738,0.421718,-0.095907,0.241491,-1.01213,0.447944,-0.53105,0.462227,0.339179,-1.20342,0.279472,-1.01661,0,0,1,1,-0.246178,0,-0.401836,0.00442642,-1.13469,0.1231,-1.27819,327.655,-35.5468,-0.248741,0,-0.793605,0.00215606,1.21301,0.139101,0.574502,323.218,37.0649,0.000352188,0.0453281,1.21322
0.03,-0.228687,-0.0306496,-0.0391884,-0.164014,0.928015,-0.585581,0.214147,-0.0907024,-0.148069,0.0486207,0.183657,0.0346739,-0.10001,0.229213,-0.210099,-0.340582,0.141748,0.348602,0.427509,-0.100031,0.223042,0.0167418,0.0104238,-0.102695,-0.107819,-0.102945,0.523168,1.47749,-0.0957337,-0.131242,-0.152131,0.518312,1.65845,-0.0670657,0.0376101,-0.0151947,-0.00531435,0.0185826,-0.00475711,0.218614,-0.0570792,-0.478909,0.283714,0.344211,0.648469,-1.70692e-06,0.0765857,0.0464828,0.0205091,-0.0214218,-0.0371895,-0.12065,1.85795e-06,0.0724672,-0.0238937,0.0194014,0.00104381,0.00128442,0.0149897,-0.0158078,0.0521664,0.00409497,-0.0114235,0.070818,0.0338808,-0.225242,-0.306312,0.595452,0.415894,0.0722996,0.854554,-0.212078,1.92512,-2.36283,1.20274,0.162289,-9.86571,-0.817668,-0.00443739,3.28867,2.56115,1.03554,-3.49888,-12.2644,0.35873,-0.0101803,-4.77621,2.47998,0.314341,0.69123,-0.706398,-0.159617,0.923171,-0.0248965,0.804284,-0.657134,-0.153136,0.980682,-0.0328519,0.564742,0.048458,-0.0474789,0.0162146,-0.0179487,0.0137165,-1.43797,0.149077,2.18055,-1.69705,-1.96205,-2.92636,2.85668e-07,-0.843789,0.0699459,-0.122416,-0.315302,0.0490987,0.46623,8.00512e-07,-0.742681,0.137672,0.366777,-0.0654246,0.244775,-0.963102,0.376935,-0.684071,0.466527,0.424038,-1.47079,0.238919,-0.5969,0,0,1,1,-0.246321,0,-0.401906,0.00412317,-1.14148,0.123687,-1.18174,327.159,-35.4498,-0.248725,0,-0.793566,0.00223992,1.22202,0.140307,0.593206,323.633,37.1582,0.000348118,0.0450916,1.18399
0.04,-0.229301,-0.0302686,-0.0393451,-0.164066,0.928199,-0.585627,0.216189,-0.0912583,-0.15264,0.0512882,0.186903,0.040866,-0.10001,0.229894,-0.209627,-0.340389,0.141502,0.348235,0.426349,-0.100031,0.223692,0.0165167,0.0106545,-0.102692,-0.107781,-0.102891,0.523048,1.47794,-0.0956461,-0.131314,-0.151569,0.518675,1.65613,-0.0614183,0.0380946,-0.0156695,-0.0051522,0.0184031,-0.00461995,0.204235,-0.0555884,-0.457103,0.266744,0.32459,0.619205,-1.70406e-06,0.0681478,0.0471823,0.019285,-0.0245748,-0.0366985,-0.115988,1.86595e-06,0.0650404,-0.022517,0.0230692,0.000389568,0.00373217,0.0053587,-0.0120385,0.0453257,0.00876024,-0.0071831,0.0561101,0.03627,-0.231211,-0.378837,0.577946,0.355811,0.0667894,0.821729,-0.211472,1.66265,-2.30807,1.27527,0.0287728,-9.80454,-0.807987,-0.00442946,3.37019,2.45092,1.02544,-3.51718,-12.2558,0.346569,-0.0101777,-4.71127,2.42129,0.299918,0.695138,-0.70276,-0.159147,0.924505,-0.0252084,0.803059,-0.64047,-0.150265,0.979837,-0.032029,0.717711,-0.136446,-0.00417376,0.0367284,-0.0066889,0.0268212,-2.06723,0.485355,3.76272,-2.58544,-3.00711,-5.24846,2.83711e-07,-0.900259,-0.230275,-0.539856,-0.0502756,0.25597,1.08871,8.11742e-07,-0.874097,0.287796,0.268513,-0.028856,0.257679,-0.885861,0.297547,-1.01947,0.477348,0.559204,-1.91732,0.146383,0.290525,0,0,1,1,-0.246483,0,-0.401981,0.00380266,-1.14679,0.124102,-1.08296,326.596,-35.3431,-0.248713,0,-0.793537,0.00233796,1.22943,0.141365,0.616439,324.157,37.2729,0.000344486,0.0448516,1.15263
0.05,-0.229844,-0.0299013,-0.0395022,-0.164113,0.928382,-0.58567,0.218025,-0.0917657,-0.156835,0.0536971,0.189848,0.0465332,-0.10001,0.230486,-0.209178,-0.34025,0.141252,0.347894,0.425298,-0.100031,0.224255,0.0163203,0.010912,-0.102691,-0.107718,-0.102926,0.522957,1.4783,-0.0955108,-0.13133,-0.1512,0.519052,1.65385,-0.0542412,0.0367302,-0.0157112,-0.00478492,0.0183363,-0.00435173,0.183562,-0.0507349,-0.419476,0.240889,0.294519,0.56672,-1.70122e-06,0.0591452,0.0448795,0.0138864,-0.0250776,-0.0341388,-0.105101,1.87407e-06,0.0562994,-0.0196391,0.0257543,0.000101008,0.00630897,-0.00349991,-0.00906303,0.035131,0.0135337,-0.00159106,0.0369369,0.0377338,-0.228306,-0.50078,0.580909,0.293859,0.0526467,0.733467,-0.21457,1.31397,-2.22496,1.37325,-0.0853482,-9.73769,-0.796475,-0.0044129,3.4946,2.31882,1.00604,-3.5433,-12.2506,0.333676,-0.0101738,-4.64854,2.34648,0.287944,0.704023,-0.696602,-0.158353,0.928794,-0.0257296,0.794651,-0.619556,-0.146326,0.975228,-0.0306522,0.914051,-0.381764,0.0675117,0.0626561,0.00795827,0.04405,-2.92391,0.952313,5.98035,-3.82824,-4.49166,-8.58698,2.88304e-07,-0.950204,-0.637004,-1.11088,0.332175,0.55771,2.02426,8.56682e-07,-1.05015,0.481659,0.12808,0.00187702,0.279415,-0.783687,0.261778,-1.56238,0.493522,0.730364,-2.51399,-0.00536252,1.69152,0,0,1,1,-0.246666,0,-0.402059,0.00346349,-1.15052,0.124333,-0.981285,325.969,-35.2263,-0.248706,0,-0.793518,0.00245044,1.23516,0.142271,0.644352,324.791,37.4106,0.000341262,0.0446191,1.12311
0.06,-0.230295,-0.0295722,-0.0396526,-0.164155,0.928566,-0.585709,0.219568,-0.0921778,-0.160432,0.0557231,0.192344,0.0513417,-0.10001,0.230982,-0.208793,-0.340222,0.141034,0.347608,0.424449,-0.100031,0.224713,0.0161721,0.0111824,-0.102689,-0.107627,-0.103039,0.522893,1.47849,-0.0953261,-0.131273,-0.151082,0.519429,1.65174,-0.0451007,0.0329125,-0.0150361,-0.00415836,0.0184158,-0.00391123,0.154323,-0.0412118,-0.359673,0.202607,0.249602,0.480851,-1.69834e-06,0.0496432,0.0385095,0.00277766,-0.0217559,-0.0285617,-0.084858,1.88264e-06,0.045798,-0.0148225,0.0270351,0.000119779,0.00910312,-0.0113368,-0.00644525,0.0195072,0.0184689,0.00571258,0.011797,0.0376802,-0.211391,-0.638062,0.595484,0.239143,0.0241754,0.55931,-0.206393,0.934852,-2.12709,1.48177,-0.178901,-9.6646,-0.782866,-0.00438765,3.64523,2.17404,0.980495,-3.57927,-12.2469,0.318955,-0.010169,-4.59524,2.26638,0.280752,0.720694,-0.689575,-0.157616,0.937689,-0.0264489,0.777674,-0.597003,-0.141647,0.966255,-0.0288061,1.12256,-0.659043,0.157387,0.0892416,0.0230165,0.0638323,-3.86256,1.49054,8.48139,-5.21351,-6.1793,-12.4338,3.01736e-07,-0.975465,-1.1021,-1.76372,0.787198,0.917453,3.14791,9.39017e-07,-1.2442,0.698205,-0.0389561,0.0145975,0.301752,-0.671855,0.327854,-2.24436,0.51166,0.909856,-3.16192,-0.208112,3.44973,0,0,1,1,-0.246872,0,-0.402142,0.00310256,-1.15258,0.124368,-0.8756,325.281,-35.0989,-0.248708,0,-0.793507,0.00257691,1.23926,0.143032,0.676913,325.533,37.5721,0.000338381,0.0444104,1.08394
0.07,-0.230633,-0.029309,-0.0397872,-0.164188,0.928753,-0.585742,0.220725,-0.0924408,-0.16318,0.0572279,0.194222,0.0549068,-0.10001,0.231381,-0.208518,-0.340371,0.140895,0.347414,0.423915,-0.100031,0.225047,0.0160936,0.0114488,-0.102687,-0.107506,-0.10322,0.522861,1.47846,-0.0950902,-0.131125,-0.15128,0.519785,1.64997,-0.0338751,0.0263221,-0.0134622,-0.00326594,0.018646,-0.00327291,0.115698,-0.0263063,-0.274859,0.150472,0.187809,0.356512,-1.69532e-06,0.0398885,0.0274885,-0.0148595,-0.0138839,-0.0193872,-0.0533789,1.89203e-06,0.0333559,-0.00784042,0.0266455,0.000265754,0.0121206,-0.0180553,-0.00316671,-0.0029364,0.0235855,0.0148111,-0.0198222,0.0355991,-0.176894,-0.7736,0.610121,0.201076,-0.0033415,0.413068,-0.182156,0.61085,-2.03591,1.57568,-0.2526,-9.58284,-0.766002,-0.00436108,3.78402,2.03159,0.955393,-3.62358,-12.2435,0.301542,-0.0101652,-4.56864,2.20197,0.278248,0.74651,-0.684069,-0.157365,0.952073,-0.0272332,0.752473,-0.577219,-0.136785,0.953242,-0.026756,1.28541,-0.923353,0.244229,0.110222,0.0354855,0.082953,-4.64504,1.99646,10.6699,-6.39291,-7.65447,-15.8633,3.10836e-07,-0.952776,-1.545,-2.35802,1.22374,1.25388,4.19097,9.91122e-07,-1.40231,0.909408,-0.205703,-0.00312543,0.312017,-0.579008,0.541487,-2.87481,0.524985,1.0474,-3.65332,-0.446925,5.17104,0,0,1,1,-0.247106,0,-0.40223,0.00271654,-1.15292,0.124197,-0.764682,324.535,-34.9603,-0.248719,0,-0.793504,0.00271613,1.2418,0.143663,0.713862,326.373,37.7578,0.000335811,0.0442132,1.10225
0.08,-0.230843,-0.0291381,-0.0398974,-0.164209,0.928943,-0.585767,0.221418,-0.0925043,-0.164862,0.0580933,0.195335,0.0568856,-0.10001,0.231685,-0.208398,-0.340755,0.140879,0.347346,0.423801,-0.100031,0.22524,0.0161062,0.0116947,-0.102684,-0.107354,-0.103458,0.522884,1.47814,-0.0948019,-0.130872,-0.151844,0.520096,1.64872,-0.021021,0.0170886,-0.01102,-0.00216372,0.0190009,-0.00244338,0.0692474,-0.00634173,-0.168159,0.0865426,0.111265,0.197879,-1.69221e-06,0.0303608,0.0120385,-0.0384398,-0.00164647,-0.00684833,-0.0114692,1.90194e-06,0.0193329,0.00125366,0.0245885,0.0002345,0.0152408,-0.0238454,0.00224816,-0.0316845,0.0288354,0.0252851,-0.0563554,0.0311298,-0.125183,-0.841517,0.596036,0.180373,-0.0190314,0.365265,-0.169454,0.456264,-1.98196,1.62216,-0.311254,-9.49042,-0.744821,-0.00434654,3.86567,1.91193,0.939752,-3.67417,-12.2387,0.279939,-0.0101617,-4.56684,2.17315,0.27645,0.779987,-0.682379,-0.157854,0.971402,-0.0278124,0.721595,-0.566312,-0.132515,0.937555,-0.024917,1.32519,-1.11383,0.301299,0.118124,0.0401484,0.0963987,-4.95931,2.32537,11.7658,-6.91417,-8.3645,-17.6493,3.10967e-07,-0.846751,-1.85617,-2.70111,1.52562,1.4568,4.80038,9.98757e-07,-1.44289,1.07551,-0.33961,-0.063696,0.295293,-0.533843,0.924084,-3.16283,0.523499,1.07067,-3.68784,-0.698902,6.26893,0,0,1,1,-0.247367,0,-0.402325,0.00230228,-1.15147,0.123813,-0.64729,323.738,-34.8102,-0.248741,0,-0.793505,0.00286633,1.24297,0.144185,0.754764,327.299,37.967,0.000333535,0.0440154,1.1218
0.09,-0.230921,-0.0290786,-0.0399775,-0.164219,0.929137,-0.585781,0.221614,-0.0923351,-0.165367,0.0582673,0.195611,0.0570995,-0.10001,0.231904,-0.208463,-0.34141,0.141015,0.347423,0.424166,-0.100031,0.225289,0.0162263,0.0119066,-0.102688,-0.107172,-0.10375,0.522998,1.47751,-0.0944612,-0.130512,-0.152776,0.520338,1.64809,-0.00776912,0.00595031,-0.00800697,-0.000982483,0.0194023,-0.00147939,0.0196542,0.016912,-0.0505011,0.0174009,0.0276198,0.0213861,-1.6891e-06,0.0218932,-0.00652328,-0.0654508,0.0136098,0.0077197,0.0365346,1.91193e-06,0.00490396,0.0120087,0.0211924,-0.00040246,0.0181937,-0.0291838,0.011489,-0.0633128,0.0340704,0.0359918,-0.0932338,0.0241408,-0.0624939,-0.745148,0.517145,0.172801,-0.0214044,0.432328,-0.182412,0.586526,-2.0037,1.58861,-0.365024,-9.38471,-0.718967,-0.00435724,3.84881,1.83676,0.942679,-3.72825,-12.2305,0.253626,-0.0101566,-4.57208,2.19999,0.268774,0.817271,-0.686345,-0.159093,0.993912,-0.0278503,0.691769,-0.570034,-0.129817,0.922722,-0.0238331,1.1732,-1.162,0.304501,0.105785,0.0315578,0.0989591,-4.50461,2.31916,10.9956,-6.32906,-7.75803,-16.5811,3.0571e-07,-0.626892,-1.91752,-2.60058,1.58601,1.42176,4.63546,9.81027e-07,-1.2898,1.14684,-0.409547,-0.173391,0.236751,-0.543662,1.46972,-2.80552,0.494982,0.914383,-3.0048,-0.910317,6.12407,0,0,1,1,-0.24766,0,-0.402427,0.00185858,-1.1482,0.123208,-0.522668,322.895,-34.6482,-0.248777,0,-0.793509,0.003026,1.24309,0.144637,0.799161,328.298,38.1985,0.000331731,0.0438277,1.03595
0.1,-0.230882,-0.0291353,-0.0400271,-0.164218,0.929334,-0.585786,0.22136,-0.0919341,-0.164772,0.0578084,0.195111,0.0556552,-0.10001,0.23206,-0.20872,-0.342325,0.141309,0.347642,0.424995,-0.100031,0.225209,0.016461,0.0120776,-0.10271,-0.106966,-0.104096,0.52326,1.4766,-0.094071,-0.130061,-0.154009,0.520488,1.64808,0.00396284,-0.00566965,-0.00496196,7.53621e-05,0.0197179,-0.000489804,-0.0253919,0.0401035,0.0594551,-0.0458897,-0.0499605,-0.144425,-1.68605e-06,0.0156243,-0.0256985,-0.0914566,0.0294698,0.0219373,0.0828892,1.92174e-06,-0.007994,0.0234771,0.0170969,-0.00213637,0.0205612,-0.0346205,0.0261862,-0.091368,0.0390202,0.0451356,-0.123282,0.0150376,-0.00125316,-0.500758,0.3866,0.18127,0.0147249,0.794438,-0.20921,1.04463,-2.12906,1.45902,-0.421026,-9.26306,-0.689538,-0.00439817,3.70015,1.80856,0.970041,-3.78052,-12.2177,0.222779,-0.0101537,-4.59539,2.30934,0.249091,0.855307,-0.696504,-0.160817,1.01819,-0.0271158,0.675082,-0.591147,-0.129932,0.91519,-0.0240937,0.812886,-1.01491,0.24398,0.0705838,0.0106575,0.0875654,-3.1615,1.87604,7.98218,-4.42311,-5.5618,-12.0608,2.72058e-07,-0.309225,-1.64778,-1.94802,1.34135,1.09458,3.50786,8.25988e-07,-0.930155,1.08041,-0.399071,-0.324576,0.128725,-0.587226,2.15535,-1.63662,0.425535,0.571797,-1.60388,-0.97734,4.38012,0,0,1,1,-0.247987,0,-0.402541,0.00138646,-1.14304,0.122375,-0.390585,322.011,-34.4747,-0.248829,0,-0.793514,0.00319436,1.24255,0.145061,0.846711,329.356,38.4504,0.000330612,0.0436528,1.05271
0.11,-0.230761,-0.0292935,-0.0400523,-0.164211,0.929532,-0.585782,0.22079,-0.0913455,-0.16338,0.0569072,0.194056,0.0530049,-0.10001,0.232185,-0.209142,-0.343434,0.141738,0.347971,0.426175,-0.100031,0.225036,0.0168039,0.0122087,-0.102764,-0.106748,-0.104501,0.523738,1.47552,-0.0936382,-0.129552,-0.155402,0.520541,1.6485,0.0120917,-0.0158187,-0.00252215,0.0007812,0.0198245,0.00038585,-0.0570068,0.0588639,0.139277,-0.0901208,-0.105579,-0.265033,-1.68333e-06,0.0125321,-0.0421763,-0.110937,0.0428833,0.0328831,0.117968,1.93e-06,-0.0172955,0.0342812,0.0131062,-0.00538214,0.0218485,-0.0404927,0.0477397,-0.107734,0.0432756,0.0508536,-0.139321,0.00526424,0.0425481,-0.0770389,0.221971,0.198214,0.046075,1.15193,-0.157519,1.74636,-2.35226,1.25851,-0.484919,-9.12771,-0.658715,-0.0044534,3.45708,1.81993,1.01736,-3.83573,-12.1997,0.187985,-0.0101509,-4.59525,2.49834,0.214954,0.897224,-0.712121,-0.163021,1.0456,-0.0257855,0.683188,-0.626743,-0.13369,0.921084,-0.0258826,0.34676,-0.69371,0.1332,0.0193264,-0.0193101,0.06629,-1.22029,1.07137,3.33723,-1.56814,-2.20208,-4.99666,2.3561e-07,0.0106544,-1.0869,-0.854991,0.826742,0.535757,1.60982,6.16052e-07,-0.466224,0.881387,-0.323916,-0.494399,-0.0210465,-0.626897,2.96881,0.168829,0.303931,0.120023,0.128537,-0.780255,1.38255,0,0,1,1,-0.248346,0,-0.402666,0.000889658,-1.13595,0.121309,-0.251477,321.095,-34.2902,-0.248897,0,-0.793517,0.00337127,1.24174,0.145499,0.897172,330.457,38.7206,0.000329998,0.0434762,1.20348
0.12,-0.230605,-0.029521,-0.0400642,-0.164201,0.929728,-0.585772,0.220098,-0.0906497,-0.161653,0.0558492,0.19278,0.0498549,-0.10001,0.232312,-0.209672,-0.344629,0.14225,0.348354,0.427515,-0.100031,0.224817,0.0172348,0.0123073,-0.102867,-0.106531,-0.104969,0.524512,1.47446,-0.0931751,-0.129031,-0.156783,0.520515,1.64907,0.0155593,-0.0227558,-0.00119015,0.000974464,0.0196314,0.00104875,-0.0692097,0.0695776,0.172649,-0.105802,-0.127599,-0.315,-1.68097e-06,0.0126386,-0.0530453,-0.119487,0.0511507,0.0382406,0.134066,1.93616e-06,-0.0219578,0.0430951,0.00986707,-0.0103261,0.021638,-0.0467617,0.0774278,-0.106046,0.0463149,0.0520538,-0.138035,-0.00253831,0.0563736,0.260656,0.0862319,0.181715,0.0621602,1.33138,-0.129426,2.33596,-2.56431,1.08531,-0.538515,-8.98472,-0.630623,-0.00448964,3.23782,1.83004,1.06104,-3.90422,-12.1759,0.150994,-0.010151,-4.60067,2.68646,0.166573,0.957207,-0.730404,-0.166283,1.08291,-0.0248061,0.713321,-0.674448,-0.14147,0.938608,-0.0281135,0.0415317,-0.379049,0.0157794,-0.0235121,-0.0402379,0.0485887,0.320057,0.333098,-0.567269,0.819193,0.631554,1.03887,2.2242e-07,0.127413,-0.531829,0.138519,0.283432,0.0222859,-0.146383,5.2272e-07,-0.189629,0.679387,-0.261448,-0.642992,-0.191464,-0.599144,3.93907,1.80146,0.127767,-0.316977,1.50858,-0.278979,-1.24272,0,0,1,1,-0.248738,0,-0.402804,0.000374426,-1.12685,0.120006,-0.10638,320.154,-34.0956,-0.24898,0,-0.793518,0.0035561,1.24092,0.145977,0.950224,331.587,39.0064,0.000329401,0.0432926,1.37898
0.13,-0.230445,-0.0297865,-0.0400746,-0.164193,0.929921,-0.585757,0.219438,-0.0899206,-0.159983,0.0548731,0.191567,0.0468088,-0.10001,0.232451,-0.210256,-0.34581,0.14279,0.348738,0.428841,-0.100031,0.224578,0.0177337,0.0123799,-0.103034,-0.106334,-0.105496,0.52568,1.47358,-0.0926991,-0.128543,-0.158012,0.520462,1.64951,0.0159746,-0.0265463,-0.00103236,0.000739343,0.019229,0.00153464,-0.0660091,0.0729086,0.166976,-0.0976102,-0.121284,-0.304611,-1.67875e-06,0.0139127,-0.0583635,-0.118102,0.053985,0.0384635,0.132602,1.94139e-06,-0.0238541,0.049889,0.00725258,-0.0167561,0.0197234,-0.0527531,0.116818,-0.0880313,0.0475925,0.048884,-0.122949,-0.00532811,0.0439464,0.359929,0.0690882,0.141174,0.0769435,1.42232,-0.116942,2.66012,-2.70004,0.979247,-0.576416,-8.83697,-0.608096,-0.00450276,3.0883,1.80803,1.08911,-3.9863,-12.1462,0.113116,-0.010159,-4.64084,2.861,0.110762,1.03933,-0.751316,-0.171329,1.13178,-0.0246767,0.763976,-0.726574,-0.152043,0.967472,-0.0300955,-0.0112063,-0.146738,-0.091188,-0.0483248,-0.0437874,0.0414922,1.06936,-0.151584,-2.76627,2.17061,2.26905,4.56266,2.21464e-07,-0.0129338,-0.125464,0.73991,-0.149634,-0.303736,-1.28038,4.93864e-07,-0.203634,0.533114,-0.232965,-0.755982,-0.360125,-0.537303,5.04948,2.89113,-0.104682,-0.651519,2.17553,0.552641,-2.6046,0,0,1,1,-0.249159,0,-0.402953,-0.000151233,-1.11572,0.118468,0.0432663,319.197,-33.8924,-0.249079,0,-0.793517,0.00374744,1.24026,0.146509,1.00535,332.732,39.3049,0.000328618,0.0431089,1.48218
